# Time-averaged data for fix logger
# TimeStep v_P v_Fobs c_Fsum v_EE
10000 5794 755529 106.672 7082.74
10500 -795.726 -104044 91.6414 -1135.34
11000 -6797.48 -891292 99.2473 -8980.52
11500 -8463.06 -1.11076e+06 89.855 -12361.7
12000 8840.29 1.15337e+06 106.881 10791.2
12500 6916.82 901588 92.5152 9745.29
13000 6562.17 855721 98.9386 8649
13500 2564.79 335133 95.1556 3521.94
14000 9593.36 1.24885e+06 95.8852 13024.4
14500 551.843 72174.5 103.454 697.645
15000 -6902.51 -905026 99.4808 -9097.49
15500 -12205 -1.60409e+06 96.1775 -16678.4
16000 3262.04 425761 98.985 4301.27
16500 10612.8 1.38154e+06 100.423 13757.2
17000 10600.7 1.37962e+06 103.909 13277.2
17500 3268.93 426762 99.6216 4283.83
18000 -4286.78 -561427 98.082 -5724.06
18500 -8133.98 -1.06673e+06 91.7107 -11631.5
19000 2948.66 385042 102.661 3750.63
19500 13157 1.7103e+06 96.1542 17787.1
20000 10666.6 1.38785e+06 98.8845 14035.1
20500 8679.32 1.13027e+06 98.7642 11444.2
21000 -154.565 -20210.1 96.6397 -209.128
21500 2846.16 371920 108.812 3417.99
22000 456.64 59714.5 102.343 583.472
22500 16125.6 2.09535e+06 105.92 19782.4
23000 16894.4 2.19479e+06 107.563 20404.8
23500 9474.55 1.23412e+06 102.512 12038.8
24000 9531.65 1.24188e+06 103.232 12030
24500 2406.68 314526 101.973 3084.39
25000 3895.01 508591 101.313 5019.98
25500 2101.04 274701 98.8947 2777.71
26000 16097.9 2.09208e+06 100.971 20719.7
26500 11374.7 1.48056e+06 102.432 14454
27000 17218 2.23643e+06 109.483 20427.1
27500 9343.94 1.21702e+06 103.536 11754.6
28000 2082.06 271975 101.114 2689.8
28500 -6811.45 -892817 91.2906 -9779.95
29000 5161.24 673900 107.838 6249.18
29500 11393.4 1.48275e+06 92.362 16053.7
30000 11346.3 1.47665e+06 97.2487 15184.2
30500 4897.41 639102 101.934 6269.76
31000 -4194.61 -549393 100.589 -5461.74
31500 2734.18 357104 97.1688 3675.08
32000 11425.5 1.48721e+06 104.707 14203.5
32500 19050.4 2.47219e+06 97.8767 25258.2
33000 22855.2 2.9599e+06 95.1477 31108.5
33500 20124.7 2.61099e+06 103.392 25253.4
34000 18076 2.3472e+06 103.478 22683
34500 11503.2 1.49707e+06 98.9624 15127.7
35000 12640.6 1.6449e+06 107.386 15317.6
35500 8160.29 1.06342e+06 100.617 10569
36000 11648.3 1.51449e+06 94.8739 15963.2
36500 15973.3 2.0742e+06 97.3571 21305.1
37000 20542.6 2.66413e+06 99.5791 26753.9
37500 22857.2 2.96294e+06 104.774 28279.3
38000 21142.8 2.74184e+06 98.2605 27903.8
38500 21678.1 2.8094e+06 103.937 27029.9
39000 16124.8 2.09315e+06 99.7413 20985.8
39500 16879.4 2.19263e+06 103.031 21281.2
40000 8891.66 1.15769e+06 93.9518 12322.2
40500 11341.7 1.47612e+06 102.25 14436.4
41000 19534.2 2.53153e+06 93.4867 27079
41500 15999.1 2.07809e+06 94.8743 21903.5
42000 24095.6 3.11766e+06 93.1518 33468.5
42500 31194.3 4.02881e+06 106.874 37696.7
43000 33177.1 4.28002e+06 100.395 42631.8
43500 19834.2 2.57364e+06 98.0475 26248.9
44000 18866.7 2.44806e+06 102.119 23972.7
44500 19492 2.52869e+06 98.0296 25795.2
45000 17139.3 2.22536e+06 101.546 21914.7
45500 14127.4 1.83703e+06 96.6937 18998.4
46000 11618.9 1.51208e+06 100.354 15067.4
46500 11243 1.46302e+06 98.6513 14830.3
47000 4581.64 598379 106.008 5644.66
47500 10107.5 1.31633e+06 97.0044 13569.7
48000 16600.9 2.15557e+06 95.8731 22483.6
48500 21153.9 2.74117e+06 104.017 26353.1
49000 22886.2 2.96519e+06 103.288 28708.1
49500 22051.8 2.85747e+06 102.739 27812.7
50000 21166.7 2.74419e+06 101.808 26954.6
50500 20033.2 2.59853e+06 96.6093 26897.3
51000 21401.4 2.77423e+06 98.636 28125.9
51500 32419.3 4.18346e+06 101.397 41258.4
52000 27229 3.52072e+06 101.202 34789
52500 28244.7 3.64904e+06 103.196 35360.3
53000 24701.3 3.19937e+06 104.365 30655.7
53500 25846.8 3.34353e+06 103.593 32275.6
54000 27810.7 3.5931e+06 104.06 34529.2
54500 26157.9 3.38651e+06 109.889 30817.6
55000 22575.9 2.92402e+06 103.161 28344.4
