# Time-averaged data for fix logger
# TimeStep v_P v_Fobs c_Fsum v_EE v_hcp_frac
10000 -6971.03 -911763 63.2576 -14413.5 0
10500 -5953.06 -778471 59.8866 -12999.1 0
11000 -3712.81 -484986 61.5472 -7879.9 0
11500 -73.0541 -9528.88 60.0472 -158.69 0
12000 2986.78 389104 63.9205 6087.31 0
12500 5565.7 724432 62.1174 11662.3 0
13000 5989.43 779490 59.0118 13209 0
13500 5163.27 672218 61.111 10999.9 0
14000 2685.5 349944 60.782 5757.37 0
14500 1011.98 131975 57.7136 2286.72 0
15000 -221.295 -28875 63.7423 -452.996 0
15500 -967.126 -126203 58.8834 -2143.27 0
16000 -777.199 -101410 62.8892 -1612.52 0
16500 650.589 84850 57.8602 1466.47 0
17000 1464.59 190957 56.1667 3399.83 0
17500 2312.76 301455 60.5908 4975.26 0
18000 3390.15 441666 55.9613 7892.35 0
18500 3320.62 432618 63.6724 6794.43 0
19000 3321.47 432740 58.7843 7361.49 0
19500 2471.83 322153 61.2294 5261.4 0
20000 2403.3 313222 58.1765 5384 0
20500 1794.17 233872 58.9076 3970.16 0
21000 2484.63 323827 56.9948 5681.69 0
21500 3011.32 392372 61.2689 6404.1 0
22000 4391.43 571971 60.3035 9484.87 0
22500 4669.17 608033 60.2157 10097.6 0
23000 4495.23 585368 60.2528 9715.21 0
23500 4657.18 606444 59.2689 10232.1 0
24000 4081.63 531693 61.089 8703.57 0
24500 1738.79 226680 66.6937 3398.82 0
25000 1704.32 222176 59.874 3710.72 0
25500 2217.88 289067 60.0892 4810.64 0
26000 3285.53 428045 57.9597 7385.23 0
26500 4233.13 551227 60.8562 9057.86 0
27000 5682.95 739613 57.751 12806.9 0
27500 6899.85 897622 61.3153 14639.4 0
28000 7685.03 999536 59.3286 16847.5 0
28500 7495.09 975021 60.9781 15989.7 0
29000 6498.52 845762 60.2844 14029.5 0
29500 3746.72 488039 60.4956 8067.35 0
30000 758.957 98974.8 64.6375 1531.23 0
30500 -1347.7 -175889 62.9139 -2795.72 0
31000 -1832.16 -239162 64.0395 -3734.61 0
31500 620.65 80946.2 62.8723 1287.47 0
32000 4606.11 599785 59.0911 10150.2 0
32500 9393.94 1.22098e+06 63.9183 19102.1 0
33000 13520.5 1.75472e+06 58.6657 29910.5 0
33500 14888.3 1.93112e+06 63.21 30550.9 0
34000 13233.6 1.71773e+06 62.5414 27465.5 0
34500 10013 1.30123e+06 61.1043 21295.2 0
35000 6225.6 810219 59.2039 13685.2 0
35500 3607.03 469899 60.8444 7722.97 0
36000 2699.46 351774 61.5574 5714.57 0
36500 3483.09 453711 56.5618 8021.5 0
37000 5128.82 667690 58.0606 11499.9 0
37500 6879.65 895160 59.2123 15117.8 0
38000 7746.56 1.0075e+06 61.6626 16338.9 0
38500 8200.51 1.06628e+06 64.042 16649.7 0
39000 8472.86 1.10157e+06 60.4935 18209.7 0
39500 8904.5 1.15759e+06 63.7427 18160.3 0
40000 9101.29 1.18326e+06 63.2638 18703.5 0
40500 8776.55 1.14115e+06 59.6261 19138.4 0
41000 7487.65 973917 64.747 15041.9 0
41500 7208.47 937813 57.1125 16420.5 0
42000 6578.5 856009 61.362 13950.1 0
42500 7144.15 929424 53.6105 17336.6 0
43000 7128.06 927290 58.5089 15848.7 0
43500 8411.38 1.09382e+06 59.1316 18498 0
44000 9990.78 1.29828e+06 59.5103 21816.1 0
44500 11839 1.53745e+06 60.2962 25498.3 0
45000 11874.2 1.54185e+06 61.7825 24956 0
45500 11510.2 1.49478e+06 57.5459 25975.5 0
46000 9902.47 1.28679e+06 61.7087 20852.7 0
46500 7284.33 947550 58.8323 16105.9 0
47000 5351.76 696744 59.0954 11790.2 0
47500 4183 544748 60.5907 8990.62 0
48000 4695.85 611461 63.2197 9671.99 0
48500 7127.18 927062 58.9375 15729.6 0
49000 11200.1 1.45486e+06 57.6334 25243.3 0
49500 14122.1 1.83213e+06 62.1645 29472.2 0
50000 17291 2.24096e+06 60.1987 37226 0
50500 17343 2.24722e+06 61.1162 36769.7 0
51000 14918.6 1.93499e+06 62.8383 30793.1 0
51500 11355.2 1.47466e+06 60.8685 24226.9 0
52000 7662.5 996508 56.5529 17620.8 0
52500 5448.51 709265 61.7731 11481.8 0
53000 4863.58 633212 57.0414 11100.9 0
53500 6950.75 904388 59.7206 15143.7 0
54000 9589.1 1.24613e+06 59.7544 20854.3 0
54500 12450.4 1.61636e+06 58.4889 27635.3 0
55000 13402.2 1.73894e+06 62.1235 27991.7 0
55500 14134.8 1.8336e+06 54.2855 33776.9 0
56000 13541.8 1.75726e+06 63.0334 27878.2 0
56500 12958.4 1.68202e+06 58.8963 28559 0
57000 11632.1 1.51075e+06 58.3193 25904.9 0
57500 11219 1.45722e+06 63.5279 22938.3 0
58000 11402.2 1.48084e+06 59.9248 24711.7 0
58500 12076.3 1.56804e+06 60.2117 26042.1 0
59000 12524.9 1.62592e+06 58.6811 27707.7 0
59500 13222.3 1.71602e+06 60.2007 28505 0
60000 13721.8 1.78087e+06 61.1473 29124.2 0
