# Time-averaged data for fix log
# TimeStep v_time v_gamma v_Fobs c_Fsum v_E
10000 20 0.0745113 0.00227556 114708 1.98378e-08
10010 20.02 0.0717847 -0.00100634 114716 -8.77241e-09
10020 20.04 0.0689432 -0.000879063 114715 -7.66303e-09
10030 20.06 0.0659914 -0.000745041 114714 -6.49479e-09
10040 20.08 0.0629341 -0.000607908 114713 -5.29939e-09
10050 20.1 0.059776 -0.000464102 114712 -4.04581e-09
10060 20.12 0.0565224 -0.00031594 114711 -2.75423e-09
10070 20.14 0.0531783 -0.000164872 114710 -1.43729e-09
10080 20.16 0.0497491 -8.43333e-06 114709 -7.35192e-11
10090 20.18 0.0462404 0.000151559 114708 1.32125e-09
10100 20.2 0.0426577 0.000314878 114708 2.74504e-09
10110 20.22 0.0390067 0.000480165 114707 4.186e-09
10120 20.24 0.0352933 0.000648054 114707 5.64965e-09
10130 20.26 0.0315235 0.000820452 114706 7.15262e-09
10140 20.28 0.0277033 0.000994596 114706 8.67081e-09
10150 20.3 0.0238387 0.00117059 114706 1.02051e-08
10160 20.32 0.019936 0.00134892 114706 1.17598e-08
10170 20.34 0.0160014 0.00152855 114706 1.33257e-08
10180 20.36 0.0120412 0.00170972 114707 1.49052e-08
10190 20.38 0.00806169 0.00189022 114707 1.64786e-08
10200 20.4 0.00406933 0.00207253 114708 1.80679e-08
10210 20.42 7.04497e-05 0.00225408 114708 1.96506e-08
10220 20.44 -0.00392854 0.00243639 114709 2.12397e-08
10230 20.46 -0.00792124 0.00261706 114710 2.28146e-08
10240 20.48 -0.0119013 0.00279834 114711 2.43947e-08
10250 20.5 -0.0158623 0.00297971 114712 2.59756e-08
10260 20.52 -0.0197979 0.00315809 114713 2.75303e-08
10270 20.54 -0.0237018 0.00333666 114715 2.90866e-08
10280 20.56 -0.0275679 0.00351449 114716 3.06364e-08
10290 20.58 -0.0313898 0.00368891 114718 3.21564e-08
10300 20.6 -0.0351615 0.00386178 114719 3.36628e-08
10310 20.62 -0.0388769 0.0040322 114721 3.51478e-08
10320 20.64 -0.0425302 0.00419843 114723 3.65962e-08
10330 20.66 -0.0461154 0.00436216 114725 3.80228e-08
10340 20.68 -0.0496269 0.00452344 114727 3.9428e-08
10350 20.7 -0.0530589 0.00468035 114729 4.07949e-08
10360 20.72 -0.0564061 0.0048345 114731 4.21378e-08
10370 20.74 -0.059663 0.00498117 114733 4.34155e-08
10380 20.76 -0.0628245 0.00512506 114734 4.46689e-08
10390 20.78 -0.0658855 0.00526377 114736 4.5877e-08
10400 20.8 -0.0688411 0.00539769 114738 4.70436e-08
10410 20.82 -0.0716865 0.00552667 114740 4.81669e-08
10420 20.84 -0.0744173 0.00565169 114742 4.92557e-08
10430 20.86 -0.077029 0.00577107 114744 5.02952e-08
10440 20.88 -0.0795175 0.00588573 114746 5.12936e-08
10450 20.9 -0.0818787 0.00599376 114748 5.22342e-08
10460 20.92 -0.084109 0.00609541 114750 5.31192e-08
10470 20.94 -0.0862047 0.00619028 114751 5.39452e-08
10480 20.96 -0.0881626 0.00628084 114753 5.47336e-08
10490 20.98 -0.0899793 0.00636294 114754 5.54484e-08
10500 21 -0.0916522 0.00643941 114756 5.6114e-08
10510 21.02 -0.0931784 0.00650926 114757 5.67221e-08
10520 21.04 -0.0945555 0.00657235 114758 5.72712e-08
10530 21.06 -0.0957814 0.00662961 114759 5.77697e-08
10540 21.08 -0.096854 0.00667963 114760 5.82051e-08
10550 21.1 -0.0977717 0.00672211 114761 5.85748e-08
10560 21.12 -0.098533 0.00675746 114762 5.88824e-08
10570 21.14 -0.0991366 0.00678594 114763 5.91303e-08
10580 21.16 -0.0995817 0.0068066 114763 5.93101e-08
10590 21.18 -0.0998674 0.00682064 114763 5.94322e-08
10600 21.2 -0.0999934 0.00682724 114763 5.94897e-08
10610 21.22 -0.0999594 0.0068264 114763 5.94824e-08
10620 21.24 -0.0997655 0.00681813 114763 5.94104e-08
10630 21.26 -0.099412 0.00680263 114763 5.92755e-08
10640 21.28 -0.0988994 0.0067801 114762 5.90794e-08
10650 21.3 -0.0982287 0.00674997 114762 5.88172e-08
10660 21.32 -0.0974007 0.00671298 114761 5.84953e-08
10670 21.34 -0.096417 0.00666888 114760 5.81115e-08
10680 21.36 -0.095279 0.00661725 114759 5.7662e-08
10690 21.38 -0.0939886 0.00655864 114758 5.71519e-08
10700 21.4 -0.0925479 0.00649495 114757 5.65975e-08
10710 21.42 -0.090959 0.00642283 114755 5.59697e-08
10720 21.44 -0.0892247 0.00634505 114754 5.52926e-08
10730 21.46 -0.0873476 0.00626125 114753 5.45631e-08
10740 21.48 -0.0853308 0.00616964 114751 5.37655e-08
10750 21.5 -0.0831775 0.00607353 114749 5.29287e-08
10760 21.52 -0.0808911 0.00597017 114747 5.20288e-08
10770 21.54 -0.0784753 0.00586025 114746 5.10717e-08
10780 21.56 -0.0759339 0.0057448 114744 5.00664e-08
10790 21.58 -0.0732711 0.00562424 114742 4.90166e-08
10800 21.6 -0.0704911 0.00549806 114740 4.79178e-08
10810 21.62 -0.0675983 0.00536755 114738 4.6781e-08
10820 21.64 -0.0645973 0.00523355 114736 4.56139e-08
10830 21.66 -0.061493 0.00509325 114734 4.43918e-08
10840 21.68 -0.0582903 0.00494826 114732 4.31288e-08
10850 21.7 -0.0549944 0.00479976 114730 4.18351e-08
10860 21.72 -0.0516105 0.00464539 114728 4.04904e-08
10870 21.74 -0.048144 0.00448695 114726 3.91101e-08
10880 21.76 -0.0446005 0.00432528 114724 3.77015e-08
10890 21.78 -0.0409857 0.00416101 114723 3.62702e-08
10900 21.8 -0.0373053 0.00399395 114721 3.48145e-08
10910 21.82 -0.0335652 0.0038227 114719 3.33223e-08
10920 21.84 -0.0297714 0.00365024 114717 3.18194e-08
10930 21.86 -0.02593 0.00347447 114716 3.02876e-08
10940 21.88 -0.0220471 0.00329662 114714 2.87376e-08
10950 21.9 -0.0181289 0.00311842 114713 2.71845e-08
