# Time-averaged data for fix log_x
# TimeStep v_E_x v_s_x
10000 0.263288 807.374
10001 0.263288 807.374
10002 0.263288 807.374
10003 0.263288 807.374
10004 0.263288 807.373
10005 0.263288 807.373
10006 0.263288 807.373
10007 0.263288 807.373
10008 0.263288 807.373
10009 0.263288 807.373
10010 0.263288 807.373
10011 0.263288 807.373
10012 0.263288 807.373
10013 0.263288 807.373
10014 0.263288 807.373
10015 0.263288 807.373
10016 0.263288 807.373
10017 0.263288 807.373
10018 0.263288 807.373
10019 0.263288 807.373
10020 0.263288 807.373
10021 0.263288 807.373
10022 0.263288 807.373
10023 0.263288 807.373
10024 0.263288 807.373
10025 0.263288 807.373
10026 0.263288 807.373
10027 0.263288 807.373
10028 0.263288 807.373
10029 0.263288 807.373
10030 0.263288 807.373
10031 0.263288 807.373
10032 0.263288 807.373
10033 0.263288 807.373
10034 0.263288 807.373
10035 0.263288 807.373
10036 0.263288 807.373
10037 0.263288 807.373
10038 0.263288 807.373
10039 0.263288 807.373
10040 0.263288 807.373
10041 0.263288 807.373
10042 0.263288 807.373
10043 0.263288 807.373
10044 0.263288 807.373
10045 0.263288 807.373
10046 0.263288 807.373
10047 0.263288 807.373
10048 0.263288 807.373
10049 0.263288 807.373
10050 0.263288 807.373
10051 0.263288 807.373
10052 0.263288 807.373
10053 0.263288 807.373
10054 0.263288 807.373
10055 0.263288 807.373
10056 0.263288 807.373
10057 0.263288 807.373
10058 0.263288 807.373
10059 0.263288 807.373
10060 0.263288 807.373
10061 0.263288 807.373
10062 0.263288 807.373
10063 0.263288 807.373
10064 0.263288 807.373
10065 0.263288 807.373
10066 0.263288 807.373
10067 0.263288 807.373
10068 0.263288 807.373
10069 0.263288 807.373
10070 0.263288 807.373
10071 0.263288 807.373
10072 0.263288 807.373
10073 0.263288 807.373
10074 0.263288 807.373
10075 0.263288 807.373
10076 0.263288 807.373
10077 0.263288 807.373
10078 0.263288 807.373
10079 0.263288 807.373
10080 0.263288 807.373
10081 0.263288 807.373
10082 0.263288 807.373
10083 0.263288 807.373
10084 0.263288 807.373
10085 0.263288 807.373
10086 0.263288 807.373
10087 0.263288 807.373
10088 0.263288 807.373
10089 0.263288 807.373
10090 0.263288 807.373
10091 0.263288 807.373
10092 0.263288 807.373
10093 0.263288 807.373
10094 0.263288 807.373
10095 0.263288 807.373
10096 0.263288 807.373
10097 0.263288 807.373
10098 0.263288 807.373
10099 0.263288 807.373
10100 0.263288 807.373
10101 0.263288 807.373
10102 0.263288 807.373
10103 0.263288 807.373
10104 0.263288 807.373
10105 0.263288 807.373
10106 0.263288 807.373
10107 0.263288 807.373
10108 0.263288 807.373
10109 0.263288 807.373
10110 0.263288 807.373
10111 0.263288 807.373
10112 0.263288 807.373
10113 0.263288 807.373
10114 0.263288 807.373
10115 0.263288 807.373
10116 0.263288 807.373
10117 0.263288 807.373
10118 0.263288 807.373
10119 0.263288 807.373
10120 0.263288 807.373
10121 0.263288 807.373
10122 0.263288 807.373
10123 0.263288 807.373
10124 0.263288 807.373
10125 0.263288 807.373
10126 0.263288 807.373
10127 0.263288 807.372
10128 0.263288 807.372
10129 0.263288 807.372
10130 0.263288 807.372
10131 0.263288 807.372
10132 0.263288 807.372
10133 0.263288 807.372
10134 0.263288 807.372
10135 0.263288 807.372
10136 0.263288 807.372
10137 0.263288 807.372
10138 0.263288 807.372
10139 0.263288 807.372
10140 0.263288 807.372
10141 0.263288 807.372
10142 0.263288 807.372
10143 0.263288 807.372
10144 0.263288 807.372
10145 0.263288 807.372
10146 0.263288 807.372
10147 0.263288 807.372
10148 0.263288 807.372
10149 0.263288 807.372
10150 0.263288 807.372
10151 0.263288 807.372
10152 0.263288 807.372
10153 0.263288 807.372
10154 0.263288 807.372
10155 0.263288 807.372
10156 0.263288 807.372
10157 0.263288 807.372
10158 0.263288 807.372
10159 0.263288 807.372
10160 0.263288 807.372
10161 0.263288 807.372
10162 0.263288 807.372
10163 0.263288 807.372
10164 0.263288 807.372
10165 0.263288 807.372
10166 0.263288 807.372
10167 0.263288 807.372
10168 0.263288 807.372
10169 0.263288 807.372
10170 0.263288 807.372
10171 0.263288 807.372
10172 0.263288 807.372
10173 0.263288 807.372
10174 0.263288 807.372
10175 0.263288 807.372
10176 0.263288 807.372
10177 0.263288 807.372
10178 0.263288 807.372
10179 0.263288 807.372
10180 0.263288 807.372
10181 0.263288 807.372
10182 0.263288 807.372
10183 0.263288 807.372
10184 0.263288 807.372
10185 0.263288 807.372
10186 0.263288 807.372
10187 0.263288 807.372
10188 0.263288 807.372
10189 0.263288 807.372
10190 0.263288 807.372
10191 0.263288 807.372
10192 0.263288 807.372
10193 0.263288 807.372
10194 0.263288 807.372
10195 0.263288 807.372
10196 0.263288 807.372
10197 0.263288 807.372
10198 0.263288 807.372
10199 0.263288 807.372
10200 0.263288 807.372
10201 0.263288 807.372
10202 0.263288 807.372
10203 0.263288 807.372
10204 0.263288 807.372
10205 0.263288 807.372
10206 0.263288 807.372
10207 0.263288 807.372
10208 0.263288 807.372
10209 0.263288 807.372
10210 0.263288 807.372
10211 0.263288 807.372
10212 0.263288 807.372
10213 0.263288 807.372
10214 0.263288 807.372
10215 0.263288 807.372
10216 0.263288 807.372
10217 0.263288 807.372
10218 0.263288 807.372
10219 0.263288 807.372
10220 0.263288 807.372
10221 0.263288 807.372
10222 0.263288 807.372
10223 0.263288 807.372
10224 0.263288 807.372
10225 0.263288 807.372
10226 0.263288 807.372
10227 0.263288 807.372
10228 0.263288 807.372
10229 0.263288 807.372
10230 0.263288 807.372
10231 0.263288 807.372
10232 0.263288 807.372
10233 0.263288 807.372
10234 0.263288 807.372
10235 0.263288 807.372
10236 0.263288 807.372
10237 0.263288 807.372
10238 0.263288 807.372
10239 0.263288 807.372
10240 0.263288 807.372
10241 0.263288 807.372
10242 0.263288 807.372
10243 0.263288 807.372
10244 0.263288 807.372
10245 0.263288 807.372
10246 0.263288 807.372
10247 0.263288 807.372
10248 0.263288 807.372
10249 0.263288 807.372
10250 0.263288 807.372
10251 0.263288 807.371
10252 0.263288 807.371
10253 0.263288 807.371
10254 0.263288 807.371
10255 0.263288 807.371
10256 0.263288 807.371
10257 0.263288 807.371
10258 0.263288 807.371
10259 0.263288 807.371
10260 0.263288 807.371
10261 0.263288 807.371
10262 0.263288 807.371
10263 0.263288 807.371
10264 0.263288 807.371
10265 0.263288 807.371
10266 0.263288 807.371
10267 0.263288 807.371
10268 0.263288 807.371
10269 0.263288 807.371
10270 0.263288 807.371
10271 0.263288 807.371
10272 0.263288 807.371
10273 0.263288 807.371
10274 0.263288 807.371
10275 0.263288 807.371
10276 0.263288 807.371
10277 0.263288 807.371
10278 0.263288 807.371
10279 0.263288 807.371
10280 0.263288 807.371
10281 0.263288 807.371
10282 0.263288 807.371
10283 0.263288 807.371
10284 0.263288 807.371
10285 0.263288 807.371
10286 0.263288 807.371
10287 0.263288 807.371
10288 0.263288 807.371
10289 0.263288 807.371
10290 0.263288 807.371
10291 0.263288 807.371
10292 0.263288 807.371
10293 0.263288 807.371
10294 0.263288 807.371
10295 0.263288 807.371
10296 0.263288 807.371
10297 0.263288 807.371
10298 0.263288 807.371
10299 0.263288 807.371
10300 0.263288 807.371
10301 0.263288 807.371
10302 0.263288 807.371
10303 0.263288 807.371
10304 0.263288 807.371
10305 0.263288 807.371
10306 0.263288 807.371
10307 0.263288 807.371
10308 0.263288 807.371
10309 0.263288 807.371
10310 0.263288 807.371
10311 0.263288 807.371
10312 0.263288 807.371
10313 0.263288 807.371
10314 0.263288 807.371
10315 0.263288 807.371
10316 0.263288 807.371
10317 0.263288 807.371
10318 0.263288 807.371
10319 0.263288 807.371
10320 0.263288 807.371
10321 0.263288 807.371
10322 0.263288 807.371
10323 0.263288 807.371
10324 0.263288 807.371
10325 0.263288 807.371
10326 0.263288 807.371
10327 0.263288 807.371
10328 0.263288 807.371
10329 0.263288 807.371
10330 0.263288 807.371
10331 0.263288 807.371
10332 0.263288 807.371
10333 0.263288 807.371
10334 0.263288 807.371
10335 0.263288 807.371
10336 0.263288 807.371
10337 0.263288 807.371
10338 0.263288 807.371
10339 0.263288 807.371
10340 0.263288 807.371
10341 0.263288 807.371
10342 0.263288 807.371
10343 0.263288 807.371
10344 0.263288 807.371
10345 0.263288 807.371
10346 0.263288 807.371
10347 0.263288 807.371
10348 0.263288 807.371
