# Time-averaged data for fix log_y
# TimeStep v_E_y v_s_y
30000 0.263291 2122.74
30001 0.263291 2122.74
30002 0.263291 2122.74
30003 0.263291 2122.74
30004 0.263291 2122.74
30005 0.263291 2122.74
30006 0.263291 2122.74
30007 0.263291 2122.74
30008 0.263291 2122.74
30009 0.263291 2122.74
30010 0.263291 2122.74
30011 0.263291 2122.74
30012 0.263291 2122.74
30013 0.263291 2122.74
30014 0.263291 2122.74
30015 0.263291 2122.74
30016 0.263291 2122.74
30017 0.263291 2122.74
30018 0.263291 2122.74
30019 0.263291 2122.74
30020 0.263291 2122.74
30021 0.263291 2122.74
30022 0.263291 2122.74
30023 0.26329 2122.74
30024 0.26329 2122.74
30025 0.26329 2122.74
30026 0.26329 2122.74
30027 0.26329 2122.74
30028 0.26329 2122.74
30029 0.26329 2122.74
30030 0.26329 2122.74
30031 0.26329 2122.74
30032 0.26329 2122.74
30033 0.26329 2122.74
30034 0.26329 2122.74
30035 0.26329 2122.74
30036 0.26329 2122.74
30037 0.26329 2122.74
30038 0.26329 2122.74
30039 0.26329 2122.74
30040 0.26329 2122.74
30041 0.26329 2122.74
30042 0.26329 2122.74
30043 0.26329 2122.74
30044 0.26329 2122.74
30045 0.26329 2122.74
30046 0.26329 2122.74
30047 0.26329 2122.74
30048 0.26329 2122.74
30049 0.26329 2122.74
30050 0.26329 2122.74
30051 0.26329 2122.74
30052 0.26329 2122.74
30053 0.26329 2122.74
30054 0.26329 2122.74
30055 0.26329 2122.74
30056 0.26329 2122.74
30057 0.26329 2122.74
30058 0.26329 2122.74
30059 0.26329 2122.74
30060 0.26329 2122.74
30061 0.26329 2122.74
30062 0.26329 2122.74
30063 0.26329 2122.74
30064 0.26329 2122.74
30065 0.26329 2122.74
30066 0.26329 2122.74
30067 0.26329 2122.74
30068 0.26329 2122.74
30069 0.26329 2122.74
30070 0.26329 2122.74
30071 0.26329 2122.74
30072 0.26329 2122.74
30073 0.26329 2122.74
30074 0.26329 2122.74
30075 0.26329 2122.74
30076 0.26329 2122.74
30077 0.26329 2122.74
30078 0.26329 2122.74
30079 0.26329 2122.74
30080 0.26329 2122.74
30081 0.26329 2122.74
30082 0.26329 2122.74
30083 0.26329 2122.74
30084 0.26329 2122.74
30085 0.26329 2122.74
30086 0.26329 2122.74
30087 0.26329 2122.74
30088 0.26329 2122.74
30089 0.26329 2122.74
30090 0.26329 2122.74
30091 0.26329 2122.74
30092 0.26329 2122.74
30093 0.26329 2122.74
30094 0.26329 2122.74
30095 0.26329 2122.74
30096 0.26329 2122.74
30097 0.26329 2122.74
30098 0.26329 2122.74
30099 0.26329 2122.74
30100 0.26329 2122.74
30101 0.26329 2122.74
30102 0.26329 2122.74
30103 0.26329 2122.74
30104 0.26329 2122.74
30105 0.26329 2122.74
30106 0.26329 2122.74
30107 0.26329 2122.74
30108 0.26329 2122.74
30109 0.26329 2122.74
30110 0.26329 2122.74
30111 0.26329 2122.74
30112 0.26329 2122.74
30113 0.26329 2122.74
30114 0.26329 2122.74
30115 0.26329 2122.74
30116 0.26329 2122.74
30117 0.26329 2122.74
30118 0.26329 2122.74
30119 0.26329 2122.74
30120 0.26329 2122.74
30121 0.26329 2122.74
30122 0.26329 2122.74
30123 0.26329 2122.74
30124 0.26329 2122.74
30125 0.26329 2122.74
30126 0.26329 2122.74
30127 0.26329 2122.74
30128 0.26329 2122.74
30129 0.26329 2122.74
30130 0.26329 2122.74
30131 0.26329 2122.74
30132 0.26329 2122.74
30133 0.26329 2122.74
30134 0.26329 2122.74
30135 0.26329 2122.74
30136 0.26329 2122.74
30137 0.26329 2122.74
30138 0.26329 2122.74
30139 0.26329 2122.74
30140 0.26329 2122.74
30141 0.26329 2122.74
30142 0.26329 2122.74
30143 0.26329 2122.74
30144 0.26329 2122.74
30145 0.26329 2122.74
30146 0.26329 2122.74
30147 0.26329 2122.74
30148 0.26329 2122.74
30149 0.26329 2122.74
30150 0.26329 2122.74
30151 0.26329 2122.74
30152 0.26329 2122.74
30153 0.26329 2122.74
30154 0.26329 2122.74
30155 0.26329 2122.74
30156 0.26329 2122.74
30157 0.26329 2122.74
30158 0.26329 2122.74
30159 0.26329 2122.74
30160 0.26329 2122.74
30161 0.26329 2122.74
30162 0.26329 2122.74
30163 0.26329 2122.74
30164 0.26329 2122.74
30165 0.26329 2122.74
30166 0.26329 2122.74
30167 0.26329 2122.74
30168 0.26329 2122.74
30169 0.26329 2122.74
30170 0.26329 2122.74
30171 0.26329 2122.74
30172 0.26329 2122.74
30173 0.26329 2122.74
30174 0.26329 2122.74
30175 0.26329 2122.74
30176 0.26329 2122.74
30177 0.26329 2122.74
30178 0.26329 2122.74
30179 0.26329 2122.74
30180 0.26329 2122.74
30181 0.26329 2122.74
30182 0.26329 2122.74
30183 0.26329 2122.74
30184 0.26329 2122.74
30185 0.26329 2122.74
30186 0.26329 2122.74
30187 0.26329 2122.74
30188 0.26329 2122.74
30189 0.26329 2122.74
30190 0.26329 2122.74
30191 0.26329 2122.74
30192 0.26329 2122.74
30193 0.26329 2122.74
30194 0.26329 2122.74
30195 0.26329 2122.74
30196 0.26329 2122.74
30197 0.26329 2122.74
30198 0.26329 2122.74
30199 0.26329 2122.74
30200 0.26329 2122.74
30201 0.26329 2122.74
30202 0.26329 2122.74
30203 0.26329 2122.74
30204 0.26329 2122.74
30205 0.26329 2122.74
30206 0.26329 2122.74
30207 0.26329 2122.74
30208 0.26329 2122.74
30209 0.26329 2122.74
30210 0.26329 2122.74
30211 0.26329 2122.74
30212 0.26329 2122.74
30213 0.26329 2122.74
30214 0.26329 2122.74
30215 0.26329 2122.74
30216 0.26329 2122.74
30217 0.26329 2122.74
30218 0.26329 2122.74
30219 0.26329 2122.74
30220 0.26329 2122.74
30221 0.26329 2122.74
30222 0.26329 2122.74
30223 0.26329 2122.74
30224 0.26329 2122.74
30225 0.26329 2122.74
30226 0.26329 2122.74
30227 0.26329 2122.74
30228 0.26329 2122.74
30229 0.26329 2122.74
30230 0.26329 2122.74
30231 0.26329 2122.74
30232 0.26329 2122.74
30233 0.26329 2122.74
30234 0.26329 2122.74
30235 0.26329 2122.74
30236 0.26329 2122.74
30237 0.26329 2122.74
30238 0.26329 2122.74
30239 0.26329 2122.74
30240 0.26329 2122.74
30241 0.26329 2122.74
30242 0.26329 2122.74
30243 0.26329 2122.74
30244 0.26329 2122.74
30245 0.26329 2122.74
30246 0.26329 2122.74
30247 0.26329 2122.74
30248 0.26329 2122.74
30249 0.26329 2122.74
30250 0.26329 2122.74
30251 0.26329 2122.74
30252 0.26329 2122.74
30253 0.26329 2122.74
30254 0.26329 2122.74
30255 0.26329 2122.74
30256 0.26329 2122.74
30257 0.26329 2122.74
30258 0.26329 2122.74
30259 0.26329 2122.74
30260 0.26329 2122.74
30261 0.26329 2122.74
30262 0.26329 2122.74
30263 0.26329 2122.74
30264 0.26329 2122.74
30265 0.26329 2122.74
30266 0.26329 2122.74
30267 0.26329 2122.74
30268 0.26329 2122.74
30269 0.26329 2122.74
30270 0.26329 2122.74
30271 0.26329 2122.74
30272 0.26329 2122.74
30273 0.26329 2122.74
30274 0.26329 2122.74
30275 0.26329 2122.74
30276 0.26329 2122.74
30277 0.26329 2122.74
30278 0.26329 2122.74
30279 0.26329 2122.74
30280 0.26329 2122.74
30281 0.26329 2122.74
30282 0.26329 2122.74
30283 0.26329 2122.74
30284 0.26329 2122.74
30285 0.26329 2122.74
30286 0.26329 2122.74
30287 0.26329 2122.74
30288 0.26329 2122.74
30289 0.26329 2122.74
30290 0.26329 2122.74
30291 0.26329 2122.74
30292 0.26329 2122.74
30293 0.26329 2122.74
30294 0.26329 2122.74
30295 0.26329 2122.74
30296 0.26329 2122.74
30297 0.26329 2122.74
30298 0.26329 2122.74
30299 0.26329 2122.74
30300 0.26329 2122.74
30301 0.26329 2122.74
30302 0.26329 2122.74
30303 0.26329 2122.74
30304 0.26329 2122.74
30305 0.26329 2122.74
30306 0.26329 2122.74
30307 0.26329 2122.74
30308 0.26329 2122.74
30309 0.26329 2122.74
30310 0.26329 2122.74
30311 0.26329 2122.74
30312 0.26329 2122.74
30313 0.26329 2122.74
30314 0.26329 2122.74
30315 0.26329 2122.74
30316 0.26329 2122.74
30317 0.26329 2122.74
30318 0.26329 2122.74
30319 0.26329 2122.74
30320 0.26329 2122.74
30321 0.26329 2122.74
30322 0.26329 2122.74
30323 0.26329 2122.74
30324 0.26329 2122.74
30325 0.26329 2122.74
30326 0.26329 2122.74
30327 0.26329 2122.74
30328 0.26329 2122.74
30329 0.26329 2122.74
30330 0.26329 2122.74
30331 0.26329 2122.74
