# Time-averaged data for fix log
# TimeStep v_P v_V v_E
20000 -0.0334712 9918.04 -0.000161937
20200 0.02833 9917.98 0.000134119
20400 0.040527 9919.03 0.000187336
20600 0.121206 9922.27 0.000549531
20800 0.0582995 9930.49 0.000273456
21000 -0.0127404 9940.21 -5.97173e-05
21200 0.0349784 9945.47 0.000163588
21400 0.0496678 9946.27 0.000231098
21600 0.0833392 9943.58 0.000385
21800 0.0715026 9937.84 0.000327203
22000 0.0500473 9926.71 0.000231851
22200 -0.0299969 9909.94 -0.000142885
22400 0.0497301 9883.11 0.000232131
22600 0.00633699 9848.33 2.9533e-05
22800 0.124592 9806.59 0.000565642
23000 0.0836986 9763.47 0.000379375
23200 0.037776 9718.14 0.000173252
23400 0.00167905 9669.31 7.96072e-06
23600 0.0542332 9618.11 0.000250536
23800 0.0356372 9567.84 0.000161916
24000 0.0577171 9519.39 0.000260839
24200 0.0128985 9473.04 5.87012e-05
24400 0.0786308 9424.99 0.000345607
24600 0.0584522 9374.54 0.000258304
24800 0.116861 9322.11 0.000504584
25000 0.142732 9270.19 0.000615494
25200 0.12898 9218.76 0.000554981
25400 0.155492 9168.06 0.00066249
25600 0.181572 9120.14 0.000765938
25800 0.0986491 9073.4 0.00042571
26000 0.125361 9027.04 0.000536184
26200 0.075443 8980.18 0.000325314
26400 0.0404829 8930.06 0.000176812
26600 0.0655089 8877.2 0.000283272
26800 0.175944 8824.45 0.00072586
27000 0.0866017 8773.16 0.000370157
27200 0.166538 8722.86 0.000691897
27400 0.194209 8676.29 0.000789027
27600 0.216232 8632.56 0.000880229
27800 0.210873 8590.72 0.000852043
28000 0.201216 8548.72 0.000815402
28200 0.165756 8506.85 0.00066282
28400 0.198821 8463.3 0.000814046
28600 0.156763 8419.64 0.000639961
28800 0.157378 8374.46 0.000632337
29000 0.262553 8327.56 0.00102863
29200 0.285662 8282.23 0.00112167
29400 0.333853 8240.24 0.00128354
29600 0.297688 8201.48 0.00116175
29800 0.278414 8164.63 0.00109328
30000 0.346828 8128.2 0.00132702
30200 0.294599 8092.75 0.00112715
30400 0.342483 8056.32 0.00129832
30600 0.400161 8019.53 0.00149013
30800 0.328881 7984.53 0.00124597
31000 0.390132 7950.4 0.00144784
31200 0.421508 7916.4 0.00156294
31400 0.363732 7882.68 0.0013534
31600 0.463985 7849.57 0.00166865
31800 0.44906 7818.33 0.00163155
32000 0.453251 7788.11 0.00164422
32200 0.525703 7759.61 0.00187027
32400 0.498148 7732.88 0.00179064
32600 0.523269 7706.4 0.00186252
32800 0.500348 7680.27 0.00178769
33000 0.549517 7654.71 0.00194803
33200 0.57444 7629.85 0.0020144
33400 0.521457 7605.7 0.00185683
33600 0.550415 7581.57 0.00196408
33800 0.599206 7557.72 0.00209822
34000 0.654056 7534.73 0.00226185
34200 0.605674 7513.22 0.00212666
34400 0.671409 7492.64 0.00231344
34600 0.670313 7472.97 0.00233673
34800 0.64794 7454.3 0.00224724
35000 0.653004 7436.29 0.0022743
35200 0.627594 7418.46 0.00218207
35400 0.622455 7400.37 0.00217978
35600 0.631137 7381.53 0.00217551
35800 0.76475 7361.49 0.00255767
36000 0.816626 7342.39 0.00275739
36200 0.799916 7326.54 0.00270924
36400 0.783152 7313.15 0.00262783
36600 0.776805 7299.57 0.00262205
36800 0.780885 7286.22 0.00261657
37000 0.840559 7273.01 0.00281651
37200 0.910287 7262.12 0.00297503
37400 0.804439 7253.59 0.00270613
37600 0.847655 7245.67 0.00282263
37800 0.869205 7237.1 0.00286181
38000 0.776675 7227.39 0.00263666
38200 0.85448 7216.87 0.00285268
38400 0.927218 7206.52 0.00302706
38600 0.88674 7196.13 0.00290436
38800 0.833224 7185.73 0.00277884
39000 0.917136 7174.26 0.00296626
39200 0.951159 7162.62 0.00310257
39400 0.968071 7152.52 0.00313753
39600 0.934918 7143.52 0.00304071
39800 0.931738 7134.04 0.00302595
40000 0.899533 7121.84 0.00293683
40200 0.875765 7107.64 0.00287218
40400 1.02548 7093.18 0.00329372
40600 0.957385 7079.69 0.00311803
40800 1.02695 7066.34 0.00331241
41000 1.02319 7054.05 0.00330138
41200 1.14448 7043.55 0.00360673
41400 1.02713 7036.4 0.00329248
41600 0.985543 7030.72 0.00317446
41800 1.01215 7024.52 0.00326929
42000 1.06373 7017.2 0.00338055
42200 1.06193 7009.52 0.00342618
42400 1.08349 7001.72 0.0034234
42600 1.12954 6993.04 0.00357065
42800 1.10198 6985.27 0.00351117
43000 1.20106 6978.75 0.00376754
43200 1.22274 6975.16 0.00380755
43400 1.19622 6974.34 0.00372087
43600 1.12194 6973.04 0.00352543
43800 1.17185 6968.94 0.00365098
