# Time-averaged data for fix logger
# TimeStep v_time_ps c_sumFobs0 c_sumFmag0 c_sumFobs1 c_sumFmag1 c_sumFobs2 c_sumFmag2 c_sumFobs3 c_sumFmag3 c_sumFobs4 c_sumFmag4 c_sumFobs5 c_sumFmag5 c_sumFobs6 c_sumFmag6 c_sumFobs7 c_sumFmag7 c_sumFobs8 c_sumFmag8 c_sumFobs9 c_sumFmag9
5000 2.5 -4.13751 379.205 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5001 2.5005 -4.13524 379.203 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5002 2.501 -4.13271 379.202 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5003 2.5015 -4.12996 379.201 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5004 2.502 -4.12697 379.2 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5005 2.5025 -4.12374 379.2 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5006 2.503 -4.12029 379.199 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5007 2.5035 -4.11661 379.198 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5008 2.504 -4.11271 379.197 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5009 2.5045 -4.1086 379.196 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5010 2.505 -4.10428 379.195 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5011 2.5055 -4.09975 379.194 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5012 2.506 -4.09501 379.194 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5013 2.5065 -4.09008 379.193 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5014 2.507 -4.08496 379.192 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5015 2.5075 -4.07965 379.191 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5016 2.508 -4.07415 379.191 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5017 2.5085 -4.06847 379.19 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5018 2.509 -4.06261 379.189 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5019 2.5095 -4.05658 379.189 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5020 2.51 -4.05039 379.188 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5021 2.5105 -4.04402 379.188 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5022 2.511 -4.03749 379.187 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5023 2.5115 -4.03083 379.187 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5024 2.512 -4.02399 379.186 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5025 2.5125 -4.01702 379.186 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5026 2.513 -4.00989 379.185 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5027 2.5135 -4.00262 379.185 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5028 2.514 -3.99522 379.184 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5029 2.5145 -3.98769 379.184 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5030 2.515 -3.98002 379.184 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5031 2.5155 -3.97222 379.183 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5032 2.516 -3.96431 379.183 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5033 2.5165 -3.95626 379.183 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5034 2.517 -3.94811 379.183 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5035 2.5175 -3.93983 379.182 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5036 2.518 -3.93145 379.182 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5037 2.5185 -3.92296 379.182 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5038 2.519 -3.91436 379.182 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5039 2.5195 -3.90566 379.182 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5040 2.52 -3.89685 379.182 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5041 2.5205 -3.88795 379.182 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5042 2.521 -3.87896 379.182 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5043 2.5215 -3.86988 379.182 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5044 2.522 -3.86072 379.182 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5045 2.5225 -3.85147 379.182 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5046 2.523 -3.84215 379.182 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5047 2.5235 -3.83275 379.182 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5048 2.524 -3.82327 379.183 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5049 2.5245 -3.81373 379.183 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5050 2.525 -3.80414 379.183 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5051 2.5255 -3.79448 379.183 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5052 2.526 -3.78476 379.184 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5053 2.5265 -3.77499 379.184 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5054 2.527 -3.76517 379.184 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5055 2.5275 -3.7553 379.185 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5056 2.528 -3.7454 379.185 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5057 2.5285 -3.73545 379.185 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5058 2.529 -3.72545 379.186 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5059 2.5295 -3.71543 379.186 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5060 2.53 -3.70538 379.187 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5061 2.5305 -3.69528 379.187 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5062 2.531 -3.68517 379.188 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5063 2.5315 -3.67504 379.188 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5064 2.532 -3.66489 379.189 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5065 2.5325 -3.65471 379.189 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5066 2.533 -3.64452 379.19 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5067 2.5335 -3.63432 379.191 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5068 2.534 -3.6241 379.191 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5069 2.5345 -3.61388 379.192 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5070 2.535 -3.60365 379.193 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5071 2.5355 -3.59342 379.194 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5072 2.536 -3.5832 379.194 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5073 2.5365 -3.57298 379.195 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5074 2.537 -3.56276 379.196 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5075 2.5375 -3.55255 379.197 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5076 2.538 -3.54236 379.198 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5077 2.5385 -3.53218 379.199 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5078 2.539 -3.52201 379.199 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5079 2.5395 -3.51186 379.2 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5080 2.54 -3.50174 379.201 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5081 2.5405 -3.49163 379.202 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5082 2.541 -3.48155 379.203 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5083 2.5415 -3.47151 379.204 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5084 2.542 -3.46149 379.205 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5085 2.5425 -3.45151 379.206 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5086 2.543 -3.44157 379.208 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5087 2.5435 -3.43168 379.209 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5088 2.544 -3.42182 379.21 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5089 2.5445 -3.41201 379.211 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5090 2.545 -3.40225 379.212 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5091 2.5455 -3.39254 379.213 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5092 2.546 -3.38289 379.215 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5093 2.5465 -3.37329 379.216 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5094 2.547 -3.36375 379.217 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5095 2.5475 -3.35427 379.218 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5096 2.548 -3.34486 379.22 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5097 2.5485 -3.33551 379.221 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5098 2.549 -3.32624 379.222 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5099 2.5495 -3.31703 379.224 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5100 2.55 -3.30792 379.225 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5101 2.5505 -3.29886 379.227 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5102 2.551 -3.28989 379.228 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5103 2.5515 -3.28102 379.229 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5104 2.552 -3.27223 379.231 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5105 2.5525 -3.26354 379.232 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5106 2.553 -3.25495 379.234 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5107 2.5535 -3.24644 379.235 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5108 2.554 -3.23805 379.237 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5109 2.5545 -3.22976 379.238 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5110 2.555 -3.22158 379.24 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5111 2.5555 -3.21352 379.241 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5112 2.556 -3.20557 379.243 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5113 2.5565 -3.19775 379.245 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5114 2.557 -3.19005 379.246 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5115 2.5575 -3.18247 379.248 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5116 2.558 -3.17503 379.249 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5117 2.5585 -3.16771 379.251 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5118 2.559 -3.16053 379.253 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5119 2.5595 -3.1535 379.255 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5120 2.56 -3.1466 379.256 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5121 2.5605 -3.13985 379.258 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5122 2.561 -3.13326 379.26 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5123 2.5615 -3.12682 379.262 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5124 2.562 -3.12052 379.263 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5125 2.5625 -3.1144 379.265 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5126 2.563 -3.10843 379.267 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5127 2.5635 -3.10262 379.269 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5128 2.564 -3.09698 379.271 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5129 2.5645 -3.09152 379.273 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5130 2.565 -3.08624 379.275 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5131 2.5655 -3.08112 379.277 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5132 2.566 -3.07619 379.278 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5133 2.5665 -3.07144 379.28 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5134 2.567 -3.06687 379.282 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5135 2.5675 -3.06249 379.285 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5136 2.568 -3.0583 379.287 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5137 2.5685 -3.0543 379.289 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5138 2.569 -3.0505 379.291 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5139 2.5695 -3.0469 379.293 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5140 2.57 -3.04351 379.295 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5141 2.5705 -3.04032 379.297 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5142 2.571 -3.03734 379.299 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5143 2.5715 -3.03455 379.302 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5144 2.572 -3.03199 379.304 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5145 2.5725 -3.02964 379.306 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5146 2.573 -3.02751 379.308 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5147 2.5735 -3.02561 379.311 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5148 2.574 -3.02393 379.313 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5149 2.5745 -3.02246 379.315 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5150 2.575 -3.02123 379.318 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5151 2.5755 -3.02023 379.32 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5152 2.576 -3.01946 379.322 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5153 2.5765 -3.01894 379.325 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5154 2.577 -3.01864 379.327 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5155 2.5775 -3.01858 379.33 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5156 2.578 -3.01877 379.332 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5157 2.5785 -3.01919 379.334 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
5158 2.579 -3.01987 379.337 0.9581 297.981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
