# T    P    E_mean    E_std
10 0 0.656805 0.833549
10 1 0.0180178 0.00417418
10 2 0.0109678 0.00156673
10 3 0.00789869 0.00111071
10 5 0.00487002 0.00105363
50 0 2.80302 7.90954
50 1 0.0307812 0.0268279
50 2 0.0146067 0.00834181
50 3 0.0115012 0.00521043
50 5 0.0057652 0.00180297
100 0 1.09232 2.67331
100 1 0.0257282 0.0210541
100 2 0.0132798 0.00918304
100 3 0.010688 0.00643084
100 5 0.0063465 0.00304742
150 0 0.36575 1.12289
150 1 0.0296942 0.0319064
150 2 0.0179882 0.018019
150 3 0.00957219 0.00681783
150 5 0.00667141 0.00459736
200 0 0.932736 1.75896
200 1 0.0256891 0.0292102
200 2 0.0134432 0.0155276
200 3 0.00952236 0.00744031
200 5 0.00646625 0.00580116
