# Time-averaged data for fix logger
# TimeStep v_time_ps c_Fobs c_Fsum v_E
5000 2.5 -3.27516e-15 738.343 -4.43582e-18
5010 2.505 -3.27516e-15 738.343 -4.43582e-18
5020 2.51 -3.27516e-15 738.343 -4.43582e-18
5030 2.515 -3.27516e-15 738.343 -4.43582e-18
5040 2.52 -3.27516e-15 738.343 -4.43582e-18
5050 2.525 -3.27516e-15 738.343 -4.43582e-18
5060 2.53 -3.27516e-15 738.343 -4.43582e-18
5070 2.535 -3.27516e-15 738.343 -4.43582e-18
5080 2.54 -3.27516e-15 738.343 -4.43582e-18
5090 2.545 -3.27516e-15 738.343 -4.43582e-18
5100 2.55 -3.27516e-15 738.343 -4.43582e-18
5110 2.555 -3.27516e-15 738.343 -4.43582e-18
5120 2.56 -3.27516e-15 738.343 -4.43582e-18
5130 2.565 -3.27516e-15 738.343 -4.43582e-18
5140 2.57 -3.27516e-15 738.343 -4.43582e-18
5150 2.575 -3.27516e-15 738.343 -4.43582e-18
5160 2.58 -3.27516e-15 738.343 -4.43582e-18
5170 2.585 -3.27516e-15 738.343 -4.43582e-18
5180 2.59 -3.27516e-15 738.343 -4.43582e-18
5190 2.595 -3.27516e-15 738.343 -4.43582e-18
5200 2.6 -3.27516e-15 738.343 -4.43582e-18
5210 2.605 -3.27516e-15 738.343 -4.43582e-18
5220 2.61 -3.27516e-15 738.343 -4.43582e-18
5230 2.615 -3.27516e-15 738.343 -4.43582e-18
5240 2.62 -3.27516e-15 738.343 -4.43582e-18
5250 2.625 -3.27516e-15 738.343 -4.43582e-18
5260 2.63 -3.27516e-15 738.343 -4.43582e-18
5270 2.635 -3.27516e-15 738.343 -4.43582e-18
5280 2.64 -3.27516e-15 738.343 -4.43582e-18
5290 2.645 -3.27516e-15 738.343 -4.43582e-18
5300 2.65 -3.27516e-15 738.343 -4.43582e-18
5310 2.655 -3.27516e-15 738.343 -4.43582e-18
5320 2.66 -3.27516e-15 738.343 -4.43582e-18
5330 2.665 -3.27516e-15 738.343 -4.43582e-18
5340 2.67 -3.27516e-15 738.343 -4.43582e-18
5350 2.675 -3.27516e-15 738.343 -4.43582e-18
5360 2.68 -3.27516e-15 738.343 -4.43582e-18
5370 2.685 -3.27516e-15 738.343 -4.43582e-18
5380 2.69 -3.27516e-15 738.343 -4.43582e-18
5390 2.695 -3.27516e-15 738.343 -4.43582e-18
5400 2.7 -3.27516e-15 738.343 -4.43582e-18
5410 2.705 -3.27516e-15 738.343 -4.43582e-18
5420 2.71 -3.27516e-15 738.343 -4.43582e-18
5430 2.715 -3.27516e-15 738.343 -4.43582e-18
5440 2.72 -3.27516e-15 738.343 -4.43582e-18
5450 2.725 -3.27516e-15 738.343 -4.43582e-18
5460 2.73 -3.27516e-15 738.343 -4.43582e-18
5470 2.735 -3.27516e-15 738.343 -4.43582e-18
5480 2.74 -3.27516e-15 738.343 -4.43582e-18
5490 2.745 -3.27516e-15 738.343 -4.43582e-18
5500 2.75 -3.27516e-15 738.343 -4.43582e-18
5510 2.755 -3.27516e-15 738.343 -4.43582e-18
5520 2.76 -3.27516e-15 738.343 -4.43582e-18
5530 2.765 -3.27516e-15 738.343 -4.43582e-18
5540 2.77 -3.27516e-15 738.343 -4.43582e-18
5550 2.775 -3.27516e-15 738.343 -4.43582e-18
5560 2.78 -3.27516e-15 738.343 -4.43582e-18
5570 2.785 -3.27516e-15 738.343 -4.43582e-18
5580 2.79 -3.27516e-15 738.343 -4.43582e-18
5590 2.795 -3.27516e-15 738.343 -4.43582e-18
5600 2.8 -3.27516e-15 738.343 -4.43582e-18
5610 2.805 -3.27516e-15 738.343 -4.43582e-18
5620 2.81 -3.27516e-15 738.343 -4.43582e-18
5630 2.815 -3.27516e-15 738.343 -4.43582e-18
5640 2.82 -3.27516e-15 738.343 -4.43582e-18
5650 2.825 -3.27516e-15 738.343 -4.43582e-18
5660 2.83 -3.27516e-15 738.343 -4.43582e-18
5670 2.835 -3.27516e-15 738.343 -4.43582e-18
5680 2.84 -3.27516e-15 738.343 -4.43582e-18
5690 2.845 -3.27516e-15 738.343 -4.43582e-18
5700 2.85 -3.27516e-15 738.343 -4.43582e-18
5710 2.855 -3.27516e-15 738.343 -4.43582e-18
5720 2.86 -3.27516e-15 738.343 -4.43582e-18
5730 2.865 -3.27516e-15 738.343 -4.43582e-18
5740 2.87 -3.27516e-15 738.343 -4.43582e-18
5750 2.875 -3.27516e-15 738.343 -4.43582e-18
5760 2.88 -3.27516e-15 738.343 -4.43582e-18
5770 2.885 -3.27516e-15 738.343 -4.43582e-18
5780 2.89 -3.27516e-15 738.343 -4.43582e-18
5790 2.895 -3.27516e-15 738.343 -4.43582e-18
5800 2.9 -3.27516e-15 738.343 -4.43582e-18
5810 2.905 -3.27516e-15 738.343 -4.43582e-18
5820 2.91 -3.27516e-15 738.343 -4.43582e-18
5830 2.915 -3.27516e-15 738.343 -4.43582e-18
5840 2.92 -3.27516e-15 738.343 -4.43582e-18
5850 2.925 -3.27516e-15 738.343 -4.43582e-18
5860 2.93 -3.27516e-15 738.343 -4.43582e-18
5870 2.935 -3.27516e-15 738.343 -4.43582e-18
5880 2.94 -3.27516e-15 738.343 -4.43582e-18
5890 2.945 -3.27516e-15 738.343 -4.43582e-18
5900 2.95 -3.27516e-15 738.343 -4.43582e-18
5910 2.955 -3.27516e-15 738.343 -4.43582e-18
5920 2.96 -3.27516e-15 738.343 -4.43582e-18
5930 2.965 -3.27516e-15 738.343 -4.43582e-18
5940 2.97 -3.27516e-15 738.343 -4.43582e-18
5950 2.975 -3.27516e-15 738.343 -4.43582e-18
5960 2.98 -3.27516e-15 738.343 -4.43582e-18
5970 2.985 -3.27516e-15 738.343 -4.43582e-18
5980 2.99 -3.27516e-15 738.343 -4.43582e-18
5990 2.995 -3.27516e-15 738.343 -4.43582e-18
6000 3 -3.27516e-15 738.343 -4.43582e-18
6010 3.005 -3.27516e-15 738.343 -4.43582e-18
6020 3.01 -3.27516e-15 738.343 -4.43582e-18
6030 3.015 -3.27516e-15 738.343 -4.43582e-18
6040 3.02 -3.27516e-15 738.343 -4.43582e-18
6050 3.025 -3.27516e-15 738.343 -4.43582e-18
6060 3.03 -3.27516e-15 738.343 -4.43582e-18
6070 3.035 -3.27516e-15 738.343 -4.43582e-18
6080 3.04 -3.27516e-15 738.343 -4.43582e-18
6090 3.045 -3.27516e-15 738.343 -4.43582e-18
6100 3.05 -3.27516e-15 738.343 -4.43582e-18
6110 3.055 -3.27516e-15 738.343 -4.43582e-18
6120 3.06 -3.27516e-15 738.343 -4.43582e-18
6130 3.065 -3.27516e-15 738.343 -4.43582e-18
6140 3.07 -3.27516e-15 738.343 -4.43582e-18
6150 3.075 -3.27516e-15 738.343 -4.43582e-18
6160 3.08 -3.27516e-15 738.343 -4.43582e-18
6170 3.085 -3.27516e-15 738.343 -4.43582e-18
6180 3.09 -3.27516e-15 738.343 -4.43582e-18
6190 3.095 -3.27516e-15 738.343 -4.43582e-18
6200 3.1 -3.27516e-15 738.343 -4.43582e-18
6210 3.105 -3.27516e-15 738.343 -4.43582e-18
6220 3.11 -3.27516e-15 738.343 -4.43582e-18
6230 3.115 -3.27516e-15 738.343 -4.43582e-18
6240 3.12 -3.27516e-15 738.343 -4.43582e-18
