# Time-averaged data for fix logger
# TimeStep v_time_ps c_Fobs c_Fsum v_E
5000 10 -5.05151e-15 773.757 -6.52856e-18
5100 10.2 -5.05151e-15 773.757 -6.52856e-18
5200 10.4 -5.05151e-15 773.757 -6.52856e-18
5300 10.6 -5.05151e-15 773.757 -6.52856e-18
5400 10.8 -5.05151e-15 773.757 -6.52856e-18
5500 11 -5.05151e-15 773.757 -6.52856e-18
5600 11.2 -5.05151e-15 773.757 -6.52856e-18
5700 11.4 -5.05151e-15 773.757 -6.52856e-18
5800 11.6 -5.05151e-15 773.757 -6.52856e-18
5900 11.8 -5.05151e-15 773.757 -6.52856e-18
6000 12 -5.05151e-15 773.757 -6.52856e-18
6100 12.2 -5.05151e-15 773.757 -6.52856e-18
6200 12.4 -5.05151e-15 773.757 -6.52856e-18
6300 12.6 -5.05151e-15 773.757 -6.52856e-18
6400 12.8 -5.05151e-15 773.757 -6.52856e-18
6500 13 -5.05151e-15 773.757 -6.52856e-18
6600 13.2 -5.05151e-15 773.757 -6.52856e-18
6700 13.4 -5.05151e-15 773.757 -6.52856e-18
6800 13.6 -5.05151e-15 773.757 -6.52856e-18
6900 13.8 -5.05151e-15 773.757 -6.52856e-18
7000 14 -5.05151e-15 773.757 -6.52856e-18
7100 14.2 -5.05151e-15 773.757 -6.52856e-18
7200 14.4 -5.05151e-15 773.757 -6.52856e-18
7300 14.6 -5.05151e-15 773.757 -6.52856e-18
7400 14.8 -5.05151e-15 773.757 -6.52856e-18
7500 15 -5.05151e-15 773.757 -6.52856e-18
7600 15.2 -5.05151e-15 773.757 -6.52856e-18
7700 15.4 -5.05151e-15 773.757 -6.52856e-18
7800 15.6 -5.05151e-15 773.757 -6.52856e-18
7900 15.8 -5.05151e-15 773.757 -6.52856e-18
8000 16 -5.05151e-15 773.757 -6.52856e-18
8100 16.2 -5.05151e-15 773.757 -6.52856e-18
8200 16.4 -5.05151e-15 773.757 -6.52856e-18
8300 16.6 -5.05151e-15 773.757 -6.52856e-18
8400 16.8 -5.05151e-15 773.757 -6.52856e-18
8500 17 -5.05151e-15 773.757 -6.52856e-18
8600 17.2 -5.05151e-15 773.757 -6.52856e-18
8700 17.4 -5.05151e-15 773.757 -6.52856e-18
8800 17.6 -5.05151e-15 773.757 -6.52856e-18
8900 17.8 -5.05151e-15 773.757 -6.52856e-18
9000 18 -5.05151e-15 773.757 -6.52856e-18
9100 18.2 -5.05151e-15 773.757 -6.52856e-18
9200 18.4 -5.05151e-15 773.757 -6.52856e-18
9300 18.6 -5.05151e-15 773.757 -6.52856e-18
9400 18.8 -5.05151e-15 773.757 -6.52856e-18
9500 19 -5.05151e-15 773.757 -6.52856e-18
9600 19.2 -5.05151e-15 773.757 -6.52856e-18
9700 19.4 -5.05151e-15 773.757 -6.52856e-18
9800 19.6 -5.05151e-15 773.757 -6.52856e-18
9900 19.8 -5.05151e-15 773.757 -6.52856e-18
10000 20 -5.05151e-15 773.757 -6.52856e-18
10100 20.2 -5.05151e-15 773.757 -6.52856e-18
10200 20.4 -5.05151e-15 773.757 -6.52856e-18
10300 20.6 -5.05151e-15 773.757 -6.52856e-18
10400 20.8 -5.05151e-15 773.757 -6.52856e-18
10500 21 -5.05151e-15 773.757 -6.52856e-18
10600 21.2 -5.05151e-15 773.757 -6.52856e-18
10700 21.4 -5.05151e-15 773.757 -6.52856e-18
