# Time-averaged data for fix logger
# TimeStep v_P c_Fobs c_Fsum v_V
20000 0.0601892 0.6912 108098 12135.2
20200 0.0332688 0.6912 106713 12138.1
20400 0.0487029 0.6912 108088 12144.5
20600 0.0106204 0.6912 107855 12152.4
20800 -0.00408765 0.6912 104492 12160.2
21000 0.132025 0.6912 110546 12168.6
21200 0.0803241 0.6912 107893 12183.6
21400 0.0183867 0.6912 107343 12203.8
21600 0.0567808 0.6912 107362 12223.4
21800 0.0710793 0.6912 108275 12244
22000 0.071455 0.6912 108635 12266.2
22200 0.0217313 0.6912 105369 12287.6
22400 0.0693599 0.6912 106778 12306.7
22600 0.0723714 0.6912 108388 12324.7
22800 0.0541576 0.6912 107346 12340
23000 0.0356593 0.6912 105763 12348.9
23200 0.0467461 0.6912 107011 12351.8
23400 0.0477394 0.6912 106761 12350.7
23600 0.0897185 0.6912 109072 12347.4
23800 0.100893 0.6912 108382 12341.4
24000 0.0127354 0.6912 104290 12331.3
24200 0.043499 0.6912 107086 12316.3
24400 0.0473287 0.6912 106677 12295.5
24600 0.0229204 0.6912 104842 12268.6
24800 0.00191346 0.6912 105367 12234.8
25000 0.0467594 0.6912 107383 12194.3
25200 0.0305491 0.6912 106015 12148.9
25400 0.0849348 0.6912 109469 12101.4
25600 0.0771899 0.6912 109888 12056.6
25800 0.138822 0.6912 111587 12014.4
26000 0.0826091 0.6912 110337 11977
26200 0.108216 0.6912 111493 11940.3
26400 0.0474927 0.6912 109518 11903.2
26600 0.0814138 0.6912 109989 11863.8
26800 0.0846668 0.6912 113269 11822.9
27000 0.0641254 0.6912 110872 11780.5
27200 0.0588807 0.6912 112763 11733.4
27400 0.0984666 0.6912 112291 11681.3
27600 0.103953 0.6912 112990 11629.8
27800 0.0901952 0.6912 113549 11581.1
28000 0.0683279 0.6912 111887 11534.3
28200 0.0724371 0.6912 111843 11486.3
28400 0.0631011 0.6912 113179 11437.3
28600 0.150645 0.6912 116884 11390
28800 0.0943956 0.6912 112511 11348
29000 0.0922968 0.6912 112804 11309.5
29200 0.0909413 0.6912 113382 11270.5
29400 0.14382 0.6912 117395 11229.6
29600 0.135429 0.6912 116278 11188.6
29800 0.160653 0.6912 118419 11149.2
30000 0.166423 0.6912 117885 11111
30200 0.207493 0.6912 118598 11073.8
30400 0.180457 0.6912 117592 11039.1
30600 0.16375 0.6912 118158 11006.6
30800 0.195068 0.6912 119625 10975.4
31000 0.141883 0.6912 115989 10943.7
31200 0.218264 0.6912 120699 10911.4
31400 0.199487 0.6912 119677 10879.5
31600 0.235922 0.6912 121611 10848.8
31800 0.202146 0.6912 119671 10819.3
32000 0.190509 0.6912 121152 10789.2
32200 0.229057 0.6912 123470 10756.6
32400 0.212371 0.6912 121052 10723
32600 0.293929 0.6912 124750 10690.1
32800 0.295656 0.6912 125036 10660.6
33000 0.258814 0.6912 123380 10632.9
33200 0.23867 0.6912 123345 10606.4
33400 0.284505 0.6912 125147 10578.7
33600 0.312946 0.6912 127027 10550.5
33800 0.29656 0.6912 126108 10523.1
34000 0.281618 0.6912 124488 10497.5
34200 0.352865 0.6912 127026 10474.7
34400 0.270515 0.6912 127634 10454.3
34600 0.281047 0.6912 125084 10430.6
34800 0.360297 0.6912 127016 10405.5
35000 0.357425 0.6912 127914 10382.9
35200 0.352629 0.6912 126984 10363
35400 0.279794 0.6912 127497 10344.7
35600 0.338941 0.6912 128889 10323.6
35800 0.422732 0.6912 132092 10301.3
36000 0.407379 0.6912 129956 10281.8
36200 0.376904 0.6912 128807 10265.9
36400 0.302394 0.6912 127494 10250.5
36600 0.348802 0.6912 127226 10231.5
36800 0.447311 0.6912 130873 10211.8
37000 0.406575 0.6912 131403 10194.7
37200 0.446611 0.6912 130207 10180.1
37400 0.39085 0.6912 132104 10168
37600 0.428778 0.6912 130530 10154.3
37800 0.444447 0.6912 131509 10140.2
38000 0.374368 0.6912 131497 10126.6
38200 0.449727 0.6912 132939 10111.4
38400 0.388929 0.6912 130381 10095.7
38600 0.427406 0.6912 131680 10078.4
38800 0.438794 0.6912 130945 10058.9
39000 0.505468 0.6912 133294 10039.4
39200 0.433714 0.6912 131129 10021.2
39400 0.445501 0.6912 132359 10005.2
39600 0.542946 0.6912 135502 9991.6
39800 0.471996 0.6912 134243 9979.83
40000 0.534954 0.6912 133888 9968.43
40200 0.617334 0.6912 137045 9960.93
