# Time-averaged data for fix logger
# TimeStep v_P c_Fobs c_Fsum
10000 5794 -3.88578e-16 106.672
10500 -795.738 -2.33147e-15 91.6414
11000 -6797.54 -5.55112e-16 99.2473
11500 -8462.36 -6.66134e-16 89.8549
12000 8841.18 4.32987e-15 106.88
12500 6918.88 -3.33067e-16 92.516
13000 6562.97 2.10942e-15 98.9121
13500 2561.17 -1.16573e-15 95.1668
14000 9623.93 2.66454e-15 95.97
14500 650.044 -1.05471e-15 103.808
15000 -6813.02 0 100.602
15500 -12009.8 -1.4988e-15 94.5558
16000 3189.35 1.27676e-15 98.4834
16500 11211.8 2.38698e-15 98.1621
17000 11479.4 -2.88658e-15 104.682
17500 1372.33 2.2482e-15 93.2281
18000 -2476.33 4.44089e-15 103.912
18500 517.682 2.33147e-15 93.907
19000 17081.8 6.66134e-16 100.798
19500 13070.2 -1.22125e-15 97.6795
20000 4705.7 -2.16493e-15 98.2331
20500 3666.08 1.54043e-15 106.081
21000 7017.27 -3.4972e-15 109.12
21500 13649.1 -1.27676e-15 98.5182
22000 7860.19 3.46945e-16 99.8761
22500 3137.21 -1.66533e-16 97.4586
23000 -11410 1.66533e-15 102.168
23500 -111.308 2.77556e-15 99.197
24000 5952.89 2.22045e-16 97.0673
24500 15859 -1.66533e-15 90.6601
25000 10108 2.33147e-15 98.1073
25500 18280.5 -6.66134e-16 98.2462
26000 11090 -1.55431e-15 102.14
26500 332.331 7.77156e-16 98.6795
27000 1518.17 7.21645e-16 99.5159
27500 -4327.15 9.99201e-16 97.0796
28000 5413.02 -1.66533e-15 94.0785
28500 4207.59 1.97065e-15 108.074
29000 12788.9 -1.16573e-15 102.162
29500 10170.7 1.66533e-16 100.801
30000 18911.8 1.04083e-15 100.073
30500 15563.6 1.88738e-15 104.103
31000 5774.09 -2.66454e-15 100.898
31500 3282.17 0 100.666
32000 786.562 -7.77156e-16 96.687
32500 9696.01 -1.95677e-15 102.203
33000 4111.26 3.747e-15 102.972
33500 17807.2 -2.22045e-16 107.641
34000 16153.5 -4.35763e-15 103.341
34500 14301.8 -1.11022e-15 107.359
35000 11865.4 1.77636e-15 102.969
35500 11018.7 8.32667e-16 104.181
36000 12118.4 -2.05391e-15 101.321
36500 6532.91 -9.99201e-16 94.99
37000 7945.39 2.9976e-15 110.314
37500 5955.87 1.66533e-16 103.371
38000 16261.2 -3.88578e-16 101.47
38500 19788 1.11022e-15 103.224
39000 27654.2 -4.02456e-16 106.498
39500 28733.9 3.33067e-16 98.9708
40000 19872.1 -3.38618e-15 101.433
40500 15205.4 8.88178e-16 102.54
41000 7153.58 3.88578e-16 106.032
41500 11140.9 -3.10862e-15 104.88
42000 14870.6 2.498e-15 97.2666
42500 17196.3 -2.22045e-16 104.935
43000 24432.9 -6.10623e-16 108.615
43500 31765.8 -9.99201e-16 104.525
44000 25587 1.79023e-15 100.326
44500 20857.6 -1.77636e-15 104.286
45000 23890.7 1.77636e-15 109.871
45500 16066.2 -3.33067e-16 101.638
46000 12829.1 -9.71445e-16 94.3441
46500 14930.9 4.44089e-16 99.9165
47000 13236.8 -3.88578e-16 99.8584
47500 18179.6 -1.33227e-15 99.1115
48000 17520 -1.55431e-15 98.1023
48500 22862.1 0 98.1732
49000 25838 1.44329e-15 103.223
49500 30148.5 1.60982e-15 109.987
50000 29686.2 1.29063e-15 97.9809
50500 22551.4 1.84575e-15 96.9368
51000 22612 -5.55112e-17 103.41
51500 16360.8 1.54043e-15 100.272
52000 17736.5 4.996e-16 102.715
52500 21864.7 1.13798e-15 102.018
53000 25357.8 2.498e-15 101.496
