# Time-averaged data for fix logger
# TimeStep c_Fobs c_Fsum c_Tglob
20000 3.2 300535 0.296551
20200 3.2 299254 0.301644
20400 3.2 304659 0.301169
20600 3.2 303541 0.302673
20800 3.2 305872 0.305159
21000 3.2 303622 0.303649
21200 3.2 305350 0.306371
21400 3.2 306127 0.307587
21600 3.2 305559 0.305734
21800 3.2 307588 0.308259
22000 3.2 308246 0.309496
22200 3.2 310608 0.309772
22400 3.2 309412 0.312768
22600 3.2 311167 0.311612
22800 3.2 310542 0.313782
23000 3.2 313808 0.314876
23200 3.2 312312 0.316032
23400 3.2 314220 0.313259
23600 3.2 313940 0.315862
23800 3.2 314776 0.318763
24000 3.2 316784 0.321011
24200 3.2 315183 0.322834
24400 3.2 314423 0.321396
24600 3.2 318936 0.322894
24800 3.2 318184 0.322887
25000 3.2 318048 0.325965
25200 3.2 319096 0.327683
25400 3.2 320633 0.323077
25600 3.2 321624 0.328883
25800 3.2 321545 0.328735
26000 3.2 323992 0.3303
26200 3.2 325038 0.333587
26400 3.2 324072 0.330069
26600 3.2 324384 0.333689
26800 3.2 324692 0.334279
27000 3.2 325894 0.333793
27200 3.2 326470 0.336524
27400 3.2 325654 0.337341
27600 3.2 330869 0.337695
27800 3.2 328356 0.338209
28000 3.2 328537 0.338107
28200 3.2 333521 0.339826
28400 3.2 331975 0.341844
28600 3.2 330856 0.339581
28800 3.2 332575 0.343841
29000 3.2 333834 0.346065
29200 3.2 331185 0.343219
29400 3.2 333163 0.346438
29600 3.2 335734 0.34797
29800 3.2 335668 0.348851
30000 3.2 333956 0.351154
30200 3.2 337752 0.350918
30400 3.2 341706 0.353628
30600 3.2 339045 0.353347
30800 3.2 339567 0.352375
31000 3.2 340971 0.355214
31200 3.2 341793 0.353205
31400 3.2 342000 0.357919
31600 3.2 343733 0.355187
31800 3.2 343386 0.35964
32000 3.2 345011 0.360044
32200 3.2 341807 0.358093
32400 3.2 343045 0.36347
32600 3.2 348662 0.361891
32800 3.2 346515 0.363506
33000 3.2 349087 0.366452
33200 3.2 349064 0.367686
33400 3.2 344473 0.365885
33600 3.2 350379 0.365239
33800 3.2 347821 0.368616
34000 3.2 348979 0.371885
34200 3.2 352413 0.372116
34400 3.2 348807 0.370452
34600 3.2 352281 0.371986
34800 3.2 354982 0.375339
35000 3.2 352520 0.374108
35200 3.2 353149 0.374091
35400 3.2 355225 0.378433
35600 3.2 356951 0.377216
35800 3.2 355074 0.381383
36000 3.2 357414 0.379908
36200 3.2 357973 0.377394
36400 3.2 360908 0.380496
36600 3.2 358104 0.385
36800 3.2 361006 0.382506
37000 3.2 362231 0.386512
37200 3.2 360956 0.383153
37400 3.2 364133 0.387834
37600 3.2 363194 0.387129
37800 3.2 363555 0.390409
38000 3.2 365639 0.389488
38200 3.2 364912 0.389481
38400 3.2 364248 0.391127
38600 3.2 369235 0.391356
38800 3.2 369178 0.392857
39000 3.2 369252 0.395855
39200 3.2 369594 0.39391
39400 3.2 369043 0.399862
39600 3.2 368531 0.395684
39800 3.2 369005 0.399093
40000 3.2 370856 0.401005
40200 3.2 371974 0.399533
40400 3.2 372679 0.405759
40600 3.2 371680 0.402293
40800 3.2 372898 0.405837
41000 3.2 374264 0.402173
41200 3.2 376731 0.407109
41400 3.2 375369 0.406437
41600 3.2 379205 0.408999
41800 3.2 380925 0.405036
42000 3.2 380148 0.411426
42200 3.2 378044 0.4127
42400 3.2 379107 0.411084
42600 3.2 379780 0.41238
42800 3.2 383651 0.413639
43000 3.2 380395 0.414989
43200 3.2 383487 0.41322
43400 3.2 383443 0.417128
43600 3.2 382071 0.418379
43800 3.2 384945 0.423395
44000 3.2 387062 0.415964
44200 3.2 384575 0.41985
