# Time-averaged data for fix logger
# TimeStep v_time_ps c_Fobs c_Fsum
5000 10 -5.05151e-15 773.757
5100 10.2 -5.05151e-15 773.757
5200 10.4 -5.05151e-15 773.757
5300 10.6 -5.05151e-15 773.757
5400 10.8 -5.05151e-15 773.757
5500 11 -5.05151e-15 773.757
5600 11.2 -5.05151e-15 773.757
5700 11.4 -5.05151e-15 773.757
5800 11.6 -5.05151e-15 773.757
5900 11.8 -5.05151e-15 773.757
6000 12 -5.05151e-15 773.757
6100 12.2 -5.05151e-15 773.757
6200 12.4 -5.05151e-15 773.757
6300 12.6 -5.05151e-15 773.757
6400 12.8 -5.05151e-15 773.757
6500 13 -5.05151e-15 773.757
6600 13.2 -5.05151e-15 773.757
6700 13.4 -5.05151e-15 773.757
6800 13.6 -5.05151e-15 773.757
6900 13.8 -5.05151e-15 773.757
7000 14 -5.05151e-15 773.757
7100 14.2 -5.05151e-15 773.757
7200 14.4 -5.05151e-15 773.757
7300 14.6 -5.05151e-15 773.757
7400 14.8 -5.05151e-15 773.757
7500 15 -5.05151e-15 773.757
7600 15.2 -5.05151e-15 773.757
7700 15.4 -5.05151e-15 773.757
7800 15.6 -5.05151e-15 773.757
7900 15.8 -5.05151e-15 773.757
8000 16 -5.05151e-15 773.757
8100 16.2 -5.05151e-15 773.757
8200 16.4 -5.05151e-15 773.757
8300 16.6 -5.05151e-15 773.757
8400 16.8 -5.05151e-15 773.757
8500 17 -5.05151e-15 773.757
8600 17.2 -5.05151e-15 773.757
8700 17.4 -5.05151e-15 773.757
8800 17.6 -5.05151e-15 773.757
8900 17.8 -5.05151e-15 773.757
9000 18 -5.05151e-15 773.757
9100 18.2 -5.05151e-15 773.757
9200 18.4 -5.05151e-15 773.757
9300 18.6 -5.05151e-15 773.757
9400 18.8 -5.05151e-15 773.757
9500 19 -5.05151e-15 773.757
9600 19.2 -5.05151e-15 773.757
9700 19.4 -5.05151e-15 773.757
9800 19.6 -5.05151e-15 773.757
9900 19.8 -5.05151e-15 773.757
10000 20 -5.05151e-15 773.757
10100 20.2 -5.05151e-15 773.757
10200 20.4 -5.05151e-15 773.757
10300 20.6 -5.05151e-15 773.757
10400 20.8 -5.05151e-15 773.757
10500 21 -5.05151e-15 773.757
10600 21.2 -5.05151e-15 773.757
10700 21.4 -5.05151e-15 773.757
10800 21.6 -5.05151e-15 773.757
10900 21.8 -5.05151e-15 773.757
11000 22 -5.05151e-15 773.757
11100 22.2 -5.05151e-15 773.757
11200 22.4 -5.05151e-15 773.757
11300 22.6 -5.05151e-15 773.757
11400 22.8 -5.05151e-15 773.757
11500 23 -5.05151e-15 773.757
11600 23.2 -5.05151e-15 773.757
11700 23.4 -5.05151e-15 773.757
11800 23.6 -5.05151e-15 773.757
11900 23.8 -5.05151e-15 773.757
12000 24 -5.05151e-15 773.757
12100 24.2 -5.05151e-15 773.757
12200 24.4 -5.05151e-15 773.757
12300 24.6 -5.05151e-15 773.757
12400 24.8 -5.05151e-15 773.757
12500 25 -5.05151e-15 773.757
12600 25.2 -5.05151e-15 773.757
12700 25.4 -5.05151e-15 773.757
12800 25.6 -5.05151e-15 773.757
12900 25.8 -5.05151e-15 773.757
13000 26 -5.05151e-15 773.757
13100 26.2 -5.05151e-15 773.757
13200 26.4 -5.05151e-15 773.757
13300 26.6 -5.05151e-15 773.757
13400 26.8 -5.05151e-15 773.757
13500 27 -5.05151e-15 773.757
13600 27.2 -5.05151e-15 773.757
13700 27.4 -5.05151e-15 773.757
13800 27.6 -5.05151e-15 773.757
13900 27.8 -5.05151e-15 773.757
14000 28 -5.05151e-15 773.757
14100 28.2 -5.05151e-15 773.757
14200 28.4 -5.05151e-15 773.757
14300 28.6 -5.05151e-15 773.757
14400 28.8 -5.05151e-15 773.757
14500 29 -5.05151e-15 773.757
14600 29.2 -5.05151e-15 773.757
14700 29.4 -5.05151e-15 773.757
14800 29.6 -5.05151e-15 773.757
14900 29.8 -5.05151e-15 773.757
15000 30 -5.05151e-15 773.757
15100 30.2 -5.05151e-15 773.757
15200 30.4 -5.05151e-15 773.757
15300 30.6 -5.05151e-15 773.757
15400 30.8 -5.05151e-15 773.757
15500 31 -5.05151e-15 773.757
15600 31.2 -5.05151e-15 773.757
15700 31.4 -5.05151e-15 773.757
