# Time-averaged data for fix logger
# TimeStep c_Fsum c_Tglob
20000 300535 0.296551
20200 299254 0.301644
20400 304659 0.301169
20600 303541 0.302673
20800 305872 0.305159
21000 303622 0.303649
21200 305350 0.306371
21400 306127 0.307587
21600 305559 0.305734
21800 307588 0.308259
22000 308246 0.309496
22200 310608 0.309772
22400 309412 0.312768
22600 311166 0.311612
22800 310542 0.313782
23000 313809 0.314875
23200 312312 0.316035
23400 314219 0.313261
23600 313944 0.315858
23800 314753 0.318771
24000 316816 0.321011
24200 315129 0.322886
24400 314538 0.321392
24600 318981 0.322839
24800 318106 0.322892
25000 318179 0.326104
25200 319801 0.327856
25400 320512 0.32409
25600 321863 0.327591
25800 321396 0.328016
26000 324846 0.330774
26200 321214 0.332008
26400 323024 0.331759
26600 326326 0.333609
26800 326351 0.333869
27000 324176 0.332852
27200 326022 0.336053
27400 327884 0.337399
27600 329125 0.333995
27800 328477 0.339395
28000 329193 0.33975
28200 332955 0.343216
28400 328645 0.342659
28600 329719 0.342795
28800 332806 0.343428
29000 331363 0.345647
29200 334420 0.345829
29400 335688 0.346019
29600 337010 0.347266
29800 336344 0.34726
30000 339005 0.35075
30200 338034 0.349817
30400 338957 0.352971
30600 338366 0.353888
30800 340721 0.35449
31000 337074 0.353052
31200 337788 0.357005
31400 340846 0.359666
31600 342814 0.356857
31800 343423 0.358761
32000 340690 0.361142
32200 345365 0.358289
32400 346019 0.361567
32600 346258 0.361874
32800 347590 0.364755
33000 347094 0.361783
33200 349561 0.364144
33400 346568 0.369754
33600 347972 0.365409
33800 349841 0.366597
34000 350432 0.370736
34200 350274 0.372201
34400 348622 0.371214
34600 355511 0.370713
34800 353416 0.374013
35000 352639 0.373788
35200 354804 0.376414
35400 356592 0.377449
35600 353759 0.380182
35800 357456 0.379862
36000 356749 0.37582
36200 357573 0.379572
36400 357878 0.383432
36600 358004 0.384627
36800 361308 0.385374
37000 361693 0.384718
37200 359580 0.383193
37400 361153 0.387721
37600 362961 0.38615
37800 367033 0.389158
38000 364684 0.388771
38200 362562 0.388948
38400 366284 0.390727
38600 367705 0.391874
38800 368332 0.394456
39000 366240 0.390771
39200 369184 0.395234
39400 372751 0.394513
39600 371969 0.396294
39800 368215 0.398386
40000 372614 0.399289
40200 369701 0.400228
40400 372690 0.403273
40600 373749 0.402997
40800 372017 0.405193
41000 376744 0.406867
41200 374067 0.404462
41400 374019 0.402233
41600 376739 0.406868
41800 378895 0.408983
42000 378719 0.409358
42200 380389 0.412478
42400 378322 0.409199
42600 379222 0.412715
42800 383423 0.413753
43000 383673 0.41249
43200 379923 0.416736
43400 383443 0.417362
43600 384557 0.417927
43800 386020 0.421293
44000 383935 0.419052
44200 384110 0.422034
44400 386594 0.419868
44600 388576 0.422778
44800 387899 0.423102
45000 388689 0.426669
45200 389414 0.423201
45400 389956 0.426935
45600 388519 0.429558
45800 392064 0.426716
46000 390270 0.431453
46200 392867 0.429491
46400 394432 0.434548
46600 390443 0.434442
46800 397139 0.43479
47000 395190 0.435009
47200 393833 0.432353
47400 396607 0.43643
47600 400183 0.434933
47800 400734 0.440674
48000 397610 0.437208
48200 403091 0.437381
48400 400276 0.442209
48600 400015 0.445855
48800 404421 0.444072
49000 403781 0.440489
49200 400945 0.44779
49400 405975 0.443816
49600 405552 0.447123
49800 405964 0.445
50000 405859 0.452533
50200 404181 0.451459
50400 406332 0.455057
50600 406774 0.452144
50800 409617 0.450692
51000 408873 0.453456
51200 408902 0.45893
51400 415177 0.456524
51600 410853 0.45534
51800 411512 0.462354
52000 410870 0.46121
52200 414451 0.45853
52400 414951 0.459635
52600 417567 0.462346
52800 416717 0.462235
53000 418357 0.466061
53200 416288 0.463101
53400 415781 0.470392
53600 417434 0.46731
53800 420334 0.47188
54000 418007 0.470133
54200 420412 0.473313
54400 422649 0.473642
54600 416765 0.472345
54800 421555 0.472069
55000 423248 0.475184
55200 426021 0.477195
55400 428055 0.475796
55600 421343 0.477705
55800 423045 0.482887
56000 425912 0.481102
56200 426106 0.47786
56400 429100 0.481582
56600 429389 0.484439
56800 423863 0.484833
57000 429348 0.48465
57200 433220 0.484033
57400 431997 0.487491
57600 431597 0.48514
57800 433452 0.490471
58000 433077 0.486971
58200 436182 0.492173
58400 436144 0.493207
58600 432900 0.489426
58800 435907 0.493469
59000 436729 0.494433
59200 441720 0.499484
59400 437901 0.49759
59600 437277 0.49818
59800 442588 0.498914
60000 440869 0.503515
60200 442376 0.496827
60400 442825 0.500829
60600 442437 0.505188
60800 444169 0.503148
61000 444323 0.505027
61200 446888 0.50706
61400 443717 0.508781
61600 442149 0.510835
61800 449394 0.512144
62000 447571 0.510322
62200 447766 0.509998
62400 450932 0.512678
62600 456391 0.512214
62800 448556 0.512525
63000 448255 0.511118
63200 452781 0.514117
63400 451867 0.520364
63600 451469 0.513786
63800 452813 0.521607
64000 453977 0.520802
64200 454758 0.52112
64400 457509 0.520423
64600 459154 0.523858
64800 457943 0.518765
65000 457003 0.523316
65200 459783 0.526812
65400 460927 0.525768
65600 461019 0.522998
65800 465115 0.528154
66000 461966 0.528589
66200 462089 0.531181
66400 461682 0.53412
66600 464085 0.535691
66800 463366 0.536984
67000 467558 0.533509
67200 465028 0.538547
67400 466180 0.531861
67600 469255 0.540157
67800 469351 0.536306
68000 466043 0.5398
68200 470676 0.543159
68400 468870 0.54499
68600 471146 0.540281
68800 473898 0.544488
69000 477380 0.546102
69200 475838 0.545851
69400 475507 0.54471
69600 479530 0.546454
69800 479687 0.54742
70000 481252 0.553029
70200 480189 0.54934
70400 485629 0.551498
70600 479553 0.555952
70800 481316 0.551236
71000 487771 0.553251
71200 485578 0.562191
71400 481569 0.557498
71600 486820 0.557736
71800 489933 0.559726
72000 488995 0.562746
72200 493109 0.563137
72400 493668 0.563435
72600 492734 0.55728
72800 494986 0.564342
73000 495608 0.568471
73200 499137 0.562711
73400 499030 0.567202
73600 501639 0.565985
73800 503667 0.569045
74000 505689 0.568964
74200 506073 0.571565
74400 504241 0.569057
74600 508098 0.573257
74800 508131 0.576628
75000 505097 0.571805
75200 511303 0.572973
75400 513805 0.577478
75600 517054 0.576339
75800 517757 0.579665
76000 520382 0.583263
76200 519714 0.576173
76400 518893 0.5842
76600 522598 0.584173
76800 523526 0.581319
77000 524055 0.586218
77200 527435 0.588869
77400 526157 0.580412
77600 531722 0.583448
77800 535461 0.585692
78000 532231 0.592633
78200 537249 0.595976
78400 536403 0.586201
78600 537441 0.593991
78800 539757 0.592514
79000 542055 0.600804
79200 538885 0.595433
79400 541425 0.600354
79600 541459 0.595956
79800 543234 0.600238
80000 545395 0.59888
80200 552159 0.600693
80400 552716 0.599109
80600 546401 0.60142
80800 550601 0.607536
81000 549853 0.601176
81200 555802 0.607632
81400 555540 0.606428
81600 561344 0.609901
81800 557574 0.60591
82000 554236 0.607366
82200 560721 0.609968
82400 562809 0.614792
82600 563778 0.610351
82800 560779 0.615291
83000 563293 0.61807
83200 563122 0.619823
83400 564613 0.61789
83600 567778 0.618545
83800 572049 0.619707
84000 566590 0.62168
84200 569298 0.623669
84400 566751 0.623108
84600 567631 0.622107
84800 570379 0.624987
85000 577885 0.623443
85200 566917 0.620562
85400 575067 0.625454
85600 577282 0.627258
85800 579532 0.631116
86000 578961 0.628004
86200 570599 0.629548
86400 581261 0.630357
86600 578573 0.638843
86800 576615 0.629781
87000 577835 0.637301
87200 585617 0.635132
87400 584383 0.639307
87600 588910 0.637247
87800 585419 0.638133
88000 587190 0.639881
88200 587731 0.641997
88400 587713 0.644087
88600 590184 0.640981
88800 591784 0.645916
89000 589586 0.642995
89200 594484 0.647112
89400 590261 0.644874
89600 597000 0.644642
89800 594130 0.651066
90000 595900 0.646017
90200 595797 0.649257
90400 596864 0.651656
90600 598923 0.65421
90800 598824 0.653015
91000 602063 0.653045
91200 601242 0.657888
91400 598503 0.656067
91600 604978 0.657716
91800 607258 0.656694
92000 602561 0.66207
92200 605913 0.658351
92400 610461 0.667701
92600 604742 0.66504
92800 608033 0.662413
93000 605741 0.67192
93200 610514 0.655822
93400 607523 0.669947
93600 615359 0.668108
93800 610797 0.667245
94000 615348 0.666738
94200 612074 0.668172
94400 612349 0.673501
94600 612249 0.676894
94800 611933 0.670933
95000 612775 0.674889
95200 615906 0.677303
95400 613073 0.671968
95600 619148 0.676927
95800 617537 0.68034
96000 619237 0.676406
96200 619024 0.68175
96400 621093 0.681484
96600 621568 0.687662
96800 622184 0.682842
97000 620475 0.684683
97200 621655 0.689008
97400 628829 0.686724
97600 625113 0.691703
97800 617130 0.685491
98000 628064 0.691033
98200 624224 0.695207
98400 622643 0.687835
98600 626771 0.694604
98800 625966 0.693888
99000 630286 0.69316
99200 630377 0.699415
99400 630955 0.694093
99600 629215 0.693313
99800 633686 0.699705
100000 638443 0.695632
100200 637234 0.702324
100400 636709 0.703084
100600 631371 0.706319
100800 638868 0.701798
101000 641140 0.702292
101200 637619 0.705142
101400 634033 0.706764
101600 641731 0.706889
101800 640338 0.703182
102000 645667 0.709271
102200 640167 0.705642
102400 639860 0.710299
102600 639101 0.713062
102800 644726 0.71596
103000 644130 0.715469
103200 647368 0.713822
103400 642107 0.721251
103600 644804 0.713768
103800 641572 0.716161
104000 651084 0.719643
104200 647594 0.71693
104400 648944 0.725699
104600 649292 0.723367
104800 652964 0.719898
105000 652788 0.721736
105200 653572 0.727287
105400 652874 0.726524
105600 654109 0.730278
105800 653378 0.72692
106000 650453 0.728972
106200 658790 0.729351
106400 652229 0.732242
106600 647408 0.741115
106800 659119 0.738467
107000 653943 0.728698
107200 651730 0.739631
107400 661452 0.735384
107600 649971 0.734016
107800 659858 0.738445
108000 660548 0.744979
108200 654942 0.740696
108400 666459 0.734529
108600 660368 0.744936
108800 663149 0.744891
109000 667332 0.744944
109200 659049 0.748349
109400 665821 0.749741
109600 664182 0.75233
109800 661448 0.750403
110000 666090 0.750892
110200 667138 0.752998
110400 667006 0.748081
110600 660873 0.750398
110800 662583 0.760581
111000 668682 0.757073
111200 664080 0.752085
111400 671368 0.757877
111600 667814 0.759947
111800 669462 0.756348
112000 671751 0.761877
112200 675146 0.762752
112400 676820 0.764749
