# Time-averaged data for fix logH
# TimeStep v_H v_pressVar
0 7.75666e+08 4166.8
100 5.61604e+07 301.65
200 -1.7615e+08 -944.024
300 1.72901e+08 928.258
400 -2.4551e+08 -1314.84
500 2.15819e+08 1157.74
600 -8.38821e+07 -448.935
700 -8.41465e+07 -450.166
800 7.37544e+07 395.262
900 -1.42574e+08 -762.11
1000 1.94786e+08 1043
1100 -1.28926e+08 -688.835
1200 3.77462e+07 202.262
1300 8.54515e+07 457.531
1400 -5.71341e+07 -305.283
1500 7.89825e+07 423.009
1600 9.51124e+06 51.2277
1700 2.36306e+06 12.9864
1800 -4.40467e+07 -235.222
1900 9.3226e+06 50.221
2000 -7.17108e+07 -383.244
2100 -3.69702e+07 -197.434
2200 1.84526e+07 99.0777
2300 2.51217e+07 134.711
2400 9.96064e+07 533.332
2500 -1.72564e+08 -922.253
2600 1.42104e+08 760.886
2700 -6.72467e+07 -359.329
2800 2.86076e+06 15.6529
2900 -1.64972e+07 -87.901
3000 -9.17052e+07 -490.037
3100 1.93331e+08 1035.09
3200 -1.62603e+08 -869.051
3300 3.45193e+06 18.8143
3400 3.72974e+07 199.902
3500 -5.00829e+07 -267.517
3600 1.44803e+08 775.324
3700 -1.868e+08 -998.18
3800 1.82904e+08 979.323
3900 -1.24036e+08 -662.874
4000 1.12582e+08 602.805
4100 7.40509e+07 396.56
4200 -1.95286e+08 -1043.71
4300 2.53055e+08 1355.18
4400 -2.45294e+08 -1310.68
4500 1.83618e+08 983.205
4600 -6.511e+07 -347.868
4700 -2.4994e+07 -133.346
4800 2.16774e+08 1160.8
4900 -2.67686e+08 -1430.4
5000 2.64051e+08 1413.98
5100 -1.53307e+08 -819.254
5200 7.32505e+07 392.262
5300 5.14628e+07 275.703
5400 -1.24886e+08 -667.449
5500 2.23161e+08 1195.05
5600 -2.44259e+08 -1305.23
5700 1.89317e+08 1013.63
5800 -5.86485e+07 -313.305
5900 -6.92648e+07 -370.128
6000 5.56337e+07 298.038
6100 -6.76139e+07 -361.254
6200 1.24628e+08 667.282
6300 -7.66384e+07 -409.442
6400 4.96552e+07 266.009
6500 -4.98013e+07 -266.018
6600 1.63009e+07 87.5527
6700 2.64031e+07 141.602
6800 -4.52535e+06 -23.8606
6900 3.29055e+07 176.385
7000 -8.25505e+07 -441.112
7100 6.44123e+06 34.8043
7200 -8.55329e+06 -45.4072
7300 1.36512e+07 73.3744
7400 5.55973e+07 297.808
7500 -8.13269e+07 -434.577
7600 5.34288e+07 286.19
7700 -1.96968e+07 -105.006
7800 1.09536e+07 58.9379
7900 6.85614e+07 367.179
8000 -7.33974e+07 -392.187
8100 1.0586e+08 566.773
8200 -1.44926e+07 -77.1704
8300 -6.92132e+06 -36.6754
8400 6.7004e+07 358.861
8500 -1.34432e+08 -718.448
8600 1.04773e+08 561.071
8700 -1.1434e+08 -611.073
8800 5.54172e+07 296.826
8900 1.2121e+07 65.1894
9000 -1.47673e+08 -789.284
9100 1.20366e+08 644.522
9200 -1.09474e+08 -585.001
9300 1.54588e+08 827.757
9400 -1.64095e+08 -876.959
9500 1.2924e+08 691.98
9600 -396702 -1.77594
9700 -1.12949e+08 -603.641
9800 1.95584e+08 1047.27
9900 -1.67587e+08 -895.624
10000 1.11799e+08 598.668
10100 -7.33316e+07 -391.821
10200 1.90998e+07 102.522
10300 4.65491e+07 249.399
10400 -1.69429e+08 -905.477
10500 1.53846e+08 823.79
10600 -1.53633e+08 -821.049
10700 1.51381e+08 810.531
10800 -1.26416e+07 -67.2747
10900 -5.20997e+07 -278.282
11000 1.26668e+08 678.263
11100 -2.51443e+08 -1343.53
11200 2.5129e+08 1345.73
11300 -1.87207e+08 -1000.45
11400 8.08511e+07 432.959
11500 8.87179e+07 475.038
11600 -2.0164e+08 -1077.5
11700 2.62656e+08 1406.49
11800 -1.43716e+08 -767.976
11900 8.26205e+07 442.451
12000 -3.82369e+07 -204.172
12100 -4.67387e+07 -249.626
12200 1.25503e+08 671.889
12300 -1.17402e+08 -627.435
12400 7.23933e+07 387.687
12500 -2.46746e+07 -131.643
12600 -5.43779e+07 -290.488
12700 1.24442e+08 666.245
12800 -1.01988e+08 -544.953
12900 1.22732e+08 657.085
13000 -7.81231e+07 -417.449
13100 -5.24732e+07 -280.326
13200 6.69027e+07 358.302
13300 -7.62794e+07 -407.565
13400 9.34386e+07 500.272
13500 -6.6085e+07 -353.061
13600 1.27547e+07 68.5735
13700 3.84072e+07 205.818
13800 -3.62593e+07 -193.575
13900 9.9362e+07 532.025
14000 -1.04311e+08 -557.42
14100 9.98701e+07 534.727
14200 -5.75734e+07 -307.55
14300 6.20547e+06 33.541
14400 1.01333e+07 54.5555
14500 -8.84676e+07 -472.758
14600 9.28994e+07 497.459
14700 -1.25673e+08 -671.622
14800 7.80041e+07 417.694
14900 85984.5 0.80584
15000 -1.4966e+07 -79.7048
15100 5.98616e+07 320.629
15200 -9.0024e+07 -481.038
15300 1.2734e+08 681.78
15400 -7.60892e+07 -406.516
15500 6.88364e+07 368.601
15600 2.52438e+07 135.383
15700 -9.45179e+07 -505.101
15800 1.35202e+08 723.888
15900 -8.16136e+07 -436.054
16000 1.0442e+08 559.069
16100 -1.01187e+08 -540.73
16200 -4.50693e+06 -23.7614
16300 9.82643e+07 526.123
16400 -1.25947e+08 -673.08
16500 1.34882e+08 722.18
16600 -1.25205e+08 -669.071
16700 4.14496e+07 222.088
16800 4.27306e+07 228.939
16900 -8.04315e+07 -429.747
17000 1.54876e+08 829.211
17100 -1.47742e+08 -789.569
17200 1.18645e+08 635.237
17300 -4.67782e+07 -249.814
17400 -4.14145e+07 -221.153
17500 7.70782e+07 412.759
17600 -1.74018e+08 -929.998
17700 1.62858e+08 871.969
17800 -1.12076e+08 -598.901
17900 6.18771e+07 331.383
18000 -1.63503e+07 -87.102
18100 -4.06781e+07 -217.185
18200 1.63746e+08 876.699
18300 -1.73039e+08 -924.69
18400 1.90023e+08 1017.42
18500 -1.42704e+08 -762.644
18600 2.29466e+07 123.098
18700 4.90371e+07 262.675
18800 -1.6483e+08 -880.925
18900 1.72067e+08 921.322
19000 -1.50731e+08 -805.526
19100 1.2002e+08 642.588
19200 -3.47945e+07 -185.742
19300 -4.3553e+07 -232.571
19400 1.0427e+08 558.274
19500 -1.12172e+08 -599.401
19600 1.44642e+08 774.423
19700 -1.1993e+08 -640.943
19800 5.01071e+07 268.427
19900 -3.15569e+07 -168.436
20000 -5.28022e+07 -282.04
20100 -5.46058e+07 -291.685
20200 -5.64166e+07 -301.369
20300 -6.92598e+07 -370.055
20400 -7.49515e+07 -400.494
20500 -6.76028e+07 -361.193
20600 -4.49495e+07 -240.043
20700 -7.03002e+07 -375.619
20800 -6.81744e+07 -364.25
20900 -7.38574e+07 -394.642
21000 -7.59584e+07 -405.878
21100 -7.56006e+07 -403.965
21200 -5.15573e+07 -275.382
21300 -5.24123e+07 -279.955
21400 -5.20327e+07 -277.924
21500 -6.1499e+07 -328.55
21600 -8.17882e+07 -437.056
21700 -5.72133e+07 -305.63
21800 -5.60205e+07 -299.251
21900 -7.52652e+07 -402.171
22000 -5.21385e+07 -278.49
22100 -5.92128e+07 -316.323
22200 -7.96201e+07 -425.461
22300 -8.88177e+07 -474.65
22400 -8.78523e+07 -469.487
22500 -6.36985e+07 -340.313
22600 -5.06267e+07 -270.405
22700 -3.62521e+07 -193.53
22800 -6.43144e+07 -343.607
22900 -6.20819e+07 -331.667
23000 -7.72087e+07 -412.565
23100 -6.12521e+07 -327.23
23200 -6.21679e+07 -332.127
23300 -5.34552e+07 -285.532
23400 -5.56557e+07 -297.3
23500 -5.79916e+07 -309.792
23600 -4.83899e+07 -258.443
23700 -5.3139e+07 -283.841
23800 -6.97371e+07 -372.607
23900 -7.44208e+07 -397.655
24000 -5.77606e+07 -308.557
24100 -4.77108e+07 -254.811
24200 -1.67473e+07 -89.2185
24300 -5.84713e+07 -312.358
24400 -7.06371e+07 -377.42
24500 -5.16782e+07 -276.029
24600 -5.75673e+07 -307.523
24700 -5.16497e+07 -275.876
24800 -4.54682e+07 -242.817
24900 -1.56606e+07 -83.4067
25000 -4.98687e+07 -266.352
25100 -6.30718e+07 -336.962
25200 -4.6323e+07 -247.389
25300 -6.32777e+07 -338.063
25400 -4.05919e+07 -216.739
25500 -3.42301e+07 -182.716
25600 -5.21587e+07 -278.599
25700 -4.05737e+07 -216.642
25800 -7.14859e+07 -381.96
25900 -6.4764e+07 -346.011
26000 -5.43137e+07 -290.123
26100 -2.93998e+07 -156.884
26200 -5.39515e+07 -288.187
26300 -6.47122e+07 -345.735
26400 -7.12179e+07 -380.527
26500 -6.76088e+07 -361.226
26600 -2.73213e+07 -145.768
26700 -5.71926e+07 -305.52
26800 -5.017e+07 -267.963
26900 -7.87707e+07 -420.92
27000 -9.28253e+07 -496.084
27100 -7.92142e+07 -423.292
27200 -3.52936e+07 -188.404
27300 -4.17408e+07 -222.884
27400 -6.1857e+07 -330.466
27500 -4.323e+07 -230.848
27600 -5.7893e+07 -309.266
27700 -5.94992e+07 -317.856
27800 -6.80329e+07 -363.495
27900 -4.45701e+07 -238.016
28000 -7.00735e+07 -374.408
28100 -7.21434e+07 -385.477
28200 -7.19373e+07 -384.376
28300 -5.25124e+07 -280.491
28400 -7.0277e+07 -375.496
28500 -7.0294e+07 -375.587
28600 -4.1702e+07 -222.677
28700 -4.05119e+07 -216.312
28800 -6.43846e+07 -343.984
28900 -8.44911e+07 -451.514
29000 -6.99465e+07 -373.729
29100 -6.02258e+07 -321.743
29200 -5.59238e+07 -298.735
29300 -3.9427e+07 -210.511
29400 -7.82323e+07 -418.042
29500 -7.4019e+07 -395.509
29600 -6.87151e+07 -367.144
29700 -4.9353e+07 -263.595
29800 -5.20292e+07 -277.908
29900 -5.68388e+07 -303.629
30000 -7.96982e+07 -425.882
30100 -6.65759e+07 -355.704
30200 -6.67236e+07 -356.494
30300 -7.4542e+07 -398.307
30400 -6.18919e+07 -330.654
30500 -5.81046e+07 -310.399
30600 -6.45141e+07 -344.678
30700 -4.69165e+07 -250.565
30800 -6.87736e+07 -367.458
30900 -5.80486e+07 -310.1
31000 -6.07911e+07 -324.767
31100 -3.39687e+07 -181.32
31200 -5.92066e+07 -316.293
31300 -6.64013e+07 -354.771
31400 -8.17096e+07 -436.641
31500 -8.005e+07 -427.765
31600 -5.43493e+07 -290.317
31700 -3.84517e+07 -205.296
31800 -5.14854e+07 -275.001
31900 -3.96302e+07 -211.599
32000 -5.31506e+07 -283.907
32100 -6.04039e+07 -322.698
32200 -5.71694e+07 -305.4
32300 -4.37763e+07 -233.772
32400 -6.08247e+07 -324.949
32500 -4.80995e+07 -256.893
32600 -4.27571e+07 -228.322
32700 -6.60479e+07 -352.883
32800 -4.98719e+07 -266.373
32900 -4.51779e+07 -241.269
33000 -2.59395e+07 -138.38
33100 -4.45019e+07 -237.654
33200 -6.53607e+07 -349.208
33300 -5.10368e+07 -272.603
33400 -6.02274e+07 -321.756
33500 -3.63427e+07 -194.018
33600 -4.11625e+07 -219.795
33700 -3.51331e+07 -187.549
33800 -2.79513e+07 -149.14
33900 -4.9194e+07 -262.748
34000 -4.58416e+07 -244.82
34100 -5.27208e+07 -281.61
34200 -5.58273e+07 -298.224
34300 -1.97825e+07 -105.453
34400 -1.89147e+07 -100.812
34500 -4.22373e+07 -225.544
34600 -6.94518e+07 -371.09
34700 -4.68436e+07 -250.179
34800 -3.38149e+07 -180.5
34900 -3.97011e+07 -211.981
35000 -4.20246e+07 -224.407
35100 -6.28604e+07 -335.84
35200 -4.57105e+07 -244.12
35300 -4.44983e+07 -237.637
35400 -2.49135e+07 -132.895
35500 -4.45547e+07 -237.939
35600 -4.23492e+07 -226.144
35700 -6.11021e+07 -326.437
35800 -4.34574e+07 -232.071
35900 -4.6841e+07 -250.167
36000 -3.94293e+07 -210.528
36100 -3.28404e+07 -175.29
36200 -2.29031e+07 -122.144
36300 -2.85004e+07 -152.079
36400 -6.994e+07 -373.705
36500 -6.81508e+07 -364.136
36600 -4.06223e+07 -216.909
36700 -2.82017e+07 -150.482
36800 -3.30258e+07 -176.282
36900 -4.18927e+07 -223.704
37000 -6.04369e+07 -322.882
37100 -5.46075e+07 -291.705
37200 -5.40084e+07 -288.502
37300 -5.21832e+07 -278.74
37400 -5.29038e+07 -282.594
37500 -2.45251e+07 -130.819
37600 -4.68054e+07 -249.979
37700 -6.82145e+07 -364.48
37800 -4.14791e+07 -221.493
37900 -5.58011e+07 -298.09
38000 -5.39568e+07 -288.227
38100 -1.72593e+07 -91.9606
38200 -4.42477e+07 -236.301
38300 -6.57505e+07 -351.303
38400 -5.7453e+07 -306.926
38500 -5.75537e+07 -307.465
38600 -2.81479e+07 -150.196
38700 -5.32331e+07 -284.358
38800 -2.5e+07 -133.361
38900 -4.89673e+07 -261.544
39000 -7.11404e+07 -380.132
39100 -5.63417e+07 -300.984
39200 -4.16651e+07 -222.491
39300 -1.90078e+07 -101.313
39400 -3.82411e+07 -204.178
39500 -4.81071e+07 -256.945
39600 -2.24737e+07 -119.85
39700 -5.03287e+07 -268.827
39800 -4.32289e+07 -230.855
39900 -4.28805e+07 -228.992
40000 -4.81368e+07 -257.104
40100 -4.89108e+07 -261.244
40200 -3.57321e+07 -190.761
40300 -3.82202e+07 -204.068
40400 -4.83265e+07 -258.12
40500 -5.42039e+07 -289.555
40600 -6.00106e+07 -320.611
40700 -6.33248e+07 -338.337
40800 -3.89498e+07 -207.971
40900 -4.88241e+06 -25.7669
41000 -3.89656e+07 -208.056
41100 -7.73366e+07 -413.279
41200 -5.41616e+07 -289.33
41300 -4.46447e+07 -238.431
41400 -5.95697e+07 -318.255
41500 -1.85661e+07 -98.9528
41600 -3.33816e+07 -178.192
41700 -4.21913e+07 -225.31
41800 -3.89333e+07 -207.885
41900 -4.69472e+07 -250.747
42000 -3.39841e+07 -181.415
42100 -3.26109e+07 -174.071
42200 -4.70498e+07 -251.297
42300 -3.56792e+07 -190.482
42400 -5.16932e+07 -276.132
42500 -2.38602e+07 -127.269
42600 -3.33701e+07 -178.133
42700 -6.21001e+07 -331.794
42800 -4.99485e+07 -266.802
42900 -3.13235e+07 -167.187
43000 -4.13515e+07 -220.822
43100 -2.90958e+07 -155.272
43200 -3.18256e+07 -169.873
43300 -3.61127e+07 -192.803
43400 -2.38509e+07 -127.221
43500 -1.10281e+07 -58.6381
43600 -2.57581e+07 -137.422
43700 -5.48019e+07 -292.763
43800 -3.93236e+07 -209.977
43900 -2.80944e+07 -149.918
