# Time-averaged data for fix logF
# TimeStep v_time_ps c_Fsum
10000 10 33701.1
11000 11 33701.1
12000 12 33701.1
13000 13 33701.1
14000 14 33701.1
15000 15 33701.1
16000 16 33701.1
17000 17 33701.1
18000 18 33701.1
19000 19 33701.1
20000 20 33701.1
21000 21 33701.1
22000 22 33701.1
23000 23 33701.1
24000 24 33701.1
25000 25 33701.1
26000 26 33701.1
27000 27 33701.1
28000 28 33701.1
29000 29 33701.1
30000 30 33701.1
31000 31 33701.1
32000 32 33701.1
33000 33 33701.1
34000 34 33701.1
35000 35 33701.1
36000 36 33701.1
37000 37 33701.1
38000 38 33701.1
39000 39 33701.1
40000 40 33701.1
41000 41 33701.1
42000 42 33701.1
43000 43 33701.1
44000 44 33701.1
45000 45 33701.1
46000 46 33701.1
47000 47 33701.1
48000 48 33701.1
49000 49 33701.1
50000 50 33701.1
51000 51 33701.1
52000 52 33701.1
53000 53 33701.1
54000 54 33701.1
55000 55 33701.1
56000 56 33701.1
57000 57 33701.1
58000 58 33701.1
59000 59 33701.1
60000 60 33701.1
